cart_id,session_id,user_id,restaurant_id,items_count,cart_value,coupon_applied,discount,delivery_fee,timestamp,abandoned,abandonment_reason
44,125,7489,238,4,928.0,True,103.0,0,2026-04-10 16:51:44,False,
45,126,7908,85,3,1404.0,False,0.0,25,2026-03-11 14:35:06,False,
46,129,9413,245,3,455.0,True,129.0,49,2026-07-18 14:41:36,False,
47,130,3419,280,2,234.0,False,0.0,0,2026-07-12 06:07:10,True,Price Too High
48,134,5105,247,4,1127.0,False,0.0,0,2026-07-21 20:41:43,False,
49,137,1343,306,3,442.0,False,0.0,0,2026-06-10 07:45:17,False,
50,140,260,253,1,131.0,False,0.0,15,2026-05-02 19:35:15,False,
51,142,4867,302,2,517.0,True,60.0,0,2026-05-22 11:47:00,False,
52,143,4650,349,2,224.0,False,0.0,0,2026-05-02 10:33:01,False,
53,145,9651,419,3,811.0,True,219.0,25,2026-07-29 21:00:50,False,
54,149,5975,96,1,141.0,False,0.0,35,2026-05-05 19:42:13,False,
55,150,9762,72,3,1856.0,True,239.0,0,2026-03-05 10:02:52,False,
56,153,7597,220,2,449.0,True,110.0,0,2026-06-21 19:57:59,False,
57,162,5217,16,2,317.0,False,0.0,0,2026-04-04 14:01:00,False,
58,163,2195,433,1,179.0,False,0.0,25,2026-05-09 13:58:32,True,Found Better Option
59,166,9923,100,1,356.0,False,0.0,0,2026-04-04 12:35:08,False,
60,170,4628,429,2,1186.0,False,0.0,35,2026-05-19 20:40:08,False,
61,172,4110,321,2,461.0,False,0.0,35,2026-03-14 16:21:55,False,
62,173,5353,154,1,98.0,False,0.0,15,2026-08-29 17:15:41,False,
63,176,9238,457,3,713.0,True,90.0,25,2026-07-05 14:59:40,False,
64,177,3994,482,4,500.0,True,125.0,0,2026-06-05 13:09:41,False,
65,178,9185,337,3,728.0,True,185.0,25,2026-05-16 18:10:14,False,
66,181,2927,450,2,387.0,False,0.0,15,2026-04-01 17:13:33,False,
67,182,1074,386,1,142.0,True,31.0,25,2026-05-16 16:53:33,False,
68,183,8215,453,3,443.0,True,97.0,35,2026-05-30 16:14:19,True,High Delivery Fee
69,184,1866,425,2,398.0,False,0.0,15,2026-03-20 19:21:21,False,
70,186,2389,416,3,850.0,False,0.0,0,2026-06-03 17:50:13,False,
71,188,6364,159,3,545.0,False,0.0,0,2026-06-14 09:37:09,False,
72,190,9404,267,1,168.0,False,0.0,0,2026-06-13 13:44:07,False,
73,193,5188,65,1,565.0,False,0.0,0,2026-04-15 13:41:48,False,
74,194,2893,26,2,321.0,True,64.0,25,2026-06-16 18:04:21,True,Changed Mind
75,195,3086,171,1,145.0,False,0.0,35,2026-07-15 19:38:40,True,High Delivery Fee
76,197,700,104,3,541.0,False,0.0,15,2026-07-31 19:09:33,False,
77,198,2590,85,1,476.0,False,0.0,25,2026-03-09 15:44:22,False,
78,199,1183,287,4,332.0,False,0.0,0,2026-07-04 19:11:21,True,Price Too High
79,201,646,350,3,508.0,False,0.0,49,2026-06-19 09:48:06,True,High Delivery Fee
80,202,2873,68,1,116.0,False,0.0,0,2026-07-11 16:17:24,True,Low Cart Value
81,203,8994,406,5,723.0,False,0.0,15,2026-08-11 19:40:34,False,
82,206,4655,117,2,264.0,False,0.0,0,2026-04-24 14:37:54,False,
83,207,6998,1,5,1046.0,False,0.0,0,2026-04-12 19:31:33,False,
84,208,2975,423,2,258.0,True,33.0,15,2026-04-06 20:49:05,False,
85,209,6538,167,3,820.0,True,150.0,35,2026-06-02 14:31:09,False,
86,211,8904,316,2,690.0,False,0.0,15,2026-04-01 20:28:16,False,
87,215,4941,70,1,141.0,False,0.0,15,2026-04-14 13:26:30,False,
88,218,6208,146,5,1962.0,True,419.0,0,2026-08-15 19:44:18,False,
89,219,3877,311,4,363.0,True,64.0,59,2026-03-06 20:13:12,True,High Delivery Fee
90,222,5451,432,2,343.0,True,60.0,0,2026-05-25 14:15:56,False,
91,229,1533,320,1,133.0,True,37.0,15,2026-05-17 20:03:07,False,
92,230,2493,88,2,283.0,True,75.0,25,2026-08-09 21:44:41,False,
93,234,3148,496,4,1172.0,True,259.0,25,2026-07-21 08:04:48,True,Long Delivery Time
94,245,3933,90,5,852.0,False,0.0,0,2026-03-07 15:51:39,False,
95,253,409,355,1,173.0,False,0.0,15,2026-04-27 04:31:18,False,
96,257,9097,404,2,458.0,False,0.0,15,2026-03-29 17:35:07,False,
97,260,2015,455,3,487.0,False,0.0,0,2026-05-24 23:23:23,True,Changed Mind
98,264,8371,458,3,321.0,True,76.0,49,2026-03-23 10:05:44,True,High Delivery Fee
99,267,926,376,4,709.0,False,0.0,0,2026-07-03 15:26:15,False,
100,269,4467,350,3,699.0,False,0.0,49,2026-06-02 05:19:19,False,
101,270,5910,71,3,454.0,False,0.0,15,2026-07-24 20:48:33,False,
102,273,5604,255,2,612.0,False,0.0,35,2026-03-14 15:59:20,False,
103,274,5465,153,4,1378.0,True,183.0,0,2026-08-22 11:06:15,False,
104,279,715,68,1,94.0,True,21.0,0,2026-05-20 00:47:38,False,
105,285,2698,496,2,729.0,False,0.0,25,2026-04-07 16:10:16,False,
106,286,6925,192,2,1018.0,True,112.0,0,2026-08-25 13:35:37,False,
107,287,4601,50,3,521.0,False,0.0,35,2026-04-14 08:37:45,False,
108,288,3879,450,3,610.0,True,153.0,0,2026-06-08 16:28:35,False,
109,293,8477,220,1,249.0,True,44.0,25,2026-06-11 14:28:42,False,
110,296,9391,500,2,738.0,True,200.0,0,2026-04-30 23:56:21,False,
111,300,8339,388,2,294.0,True,43.0,0,2026-03-04 15:57:36,False,
112,302,8650,283,2,310.0,False,0.0,0,2026-04-04 20:16:31,False,
113,304,8515,453,2,327.0,False,0.0,35,2026-06-22 10:51:30,False,
114,305,3605,67,3,406.0,False,0.0,15,2026-05-11 22:36:16,False,
115,309,3349,380,4,608.0,True,64.0,0,2026-06-25 15:10:36,False,
116,310,6953,28,2,399.0,False,0.0,0,2026-03-17 19:24:11,False,
117,316,6710,384,3,761.0,False,0.0,0,2026-03-07 14:53:09,False,
118,318,3456,452,4,615.0,True,164.0,25,2026-03-12 21:22:45,False,
119,320,5164,35,4,1067.0,True,124.0,0,2026-08-30 21:01:47,False,
120,321,6067,500,3,1145.0,True,270.0,35,2026-04-15 09:08:23,False,
121,323,3594,288,3,413.0,True,97.0,0,2026-07-16 22:07:02,False,
122,325,7097,324,1,179.0,False,0.0,35,2026-03-31 11:19:30,False,
123,326,9587,287,2,118.0,True,24.0,59,2026-05-04 15:57:35,False,
124,327,4761,473,2,604.0,False,0.0,0,2026-07-24 18:53:17,False,
125,329,2040,273,3,1304.0,True,313.0,15,2026-07-10 09:24:07,False,
126,331,4110,299,2,795.0,True,99.0,25,2026-04-09 14:20:01,False,
127,332,5028,327,2,349.0,False,0.0,35,2026-04-19 11:07:19,True,High Delivery Fee
128,333,7210,280,3,400.0,False,0.0,49,2026-08-26 11:04:21,False,
129,337,9840,455,4,775.0,False,0.0,59,2026-07-26 10:03:34,False,
130,338,7754,278,4,1334.0,False,0.0,0,2026-04-10 19:14:43,False,
131,339,2055,370,1,68.0,False,0.0,15,2026-08-01 08:39:09,False,
132,340,896,464,5,717.0,False,0.0,49,2026-06-18 15:37:55,False,
133,341,9991,265,1,317.0,False,0.0,0,2026-07-11 20:10:14,False,
134,342,3812,161,2,570.0,True,96.0,59,2026-07-29 19:46:50,True,High Delivery Fee
135,343,8590,98,3,787.0,True,111.0,35,2026-04-15 18:59:54,False,
136,346,1921,65,2,1124.0,False,0.0,25,2026-07-24 11:57:17,False,
137,353,4783,79,3,483.0,False,0.0,25,2026-06-15 12:29:08,False,
138,359,7561,21,3,887.0,False,0.0,0,2026-07-20 20:15:40,False,
139,367,8761,280,1,193.0,True,31.0,49,2026-07-31 15:09:37,False,
140,370,7700,114,5,935.0,False,0.0,0,2026-06-17 18:06:55,False,
141,373,3643,289,3,176.0,False,0.0,25,2026-04-03 20:16:39,True,Found Better Option
142,375,6018,164,1,104.0,True,11.0,49,2026-07-09 21:59:03,False,
143,378,671,323,4,1463.0,False,0.0,0,2026-08-03 10:54:25,False,
144,379,9478,466,4,1052.0,False,0.0,0,2026-04-23 13:56:57,False,
145,383,2985,152,5,1367.0,False,0.0,25,2026-06-10 19:34:55,False,
146,386,1181,143,3,603.0,False,0.0,25,2026-06-30 19:55:37,False,
147,388,4961,415,2,1019.0,False,0.0,0,2026-06-30 19:31:34,True,Long Delivery Time
148,389,2476,268,3,517.0,False,0.0,0,2026-04-24 11:15:41,False,
149,390,5735,35,4,1306.0,True,195.0,25,2026-04-06 21:33:37,False,
150,391,1677,172,3,711.0,False,0.0,0,2026-07-03 13:58:42,False,
151,393,8881,236,3,768.0,True,201.0,25,2026-08-12 07:49:54,False,
152,394,9793,59,3,583.0,True,63.0,0,2026-07-15 12:15:46,False,
153,395,4712,35,2,586.0,True,98.0,25,2026-05-02 17:56:56,False,
154,396,8747,76,3,915.0,False,0.0,49,2026-08-17 21:33:55,True,High Delivery Fee
155,397,6810,236,2,635.0,False,0.0,25,2026-06-07 05:25:09,False,
156,398,3764,156,2,478.0,True,116.0,25,2026-08-08 09:10:29,False,
157,401,1508,432,5,1554.0,False,0.0,0,2026-07-27 21:53:24,False,
158,402,1902,49,1,193.0,False,0.0,15,2026-04-02 12:36:38,True,Long Delivery Time
159,404,4386,500,3,1492.0,False,0.0,35,2026-04-21 07:36:26,False,
160,405,8976,24,3,172.0,True,46.0,35,2026-08-20 08:35:29,False,
161,409,7264,378,3,641.0,True,116.0,15,2026-04-26 13:30:03,False,
162,413,4398,422,1,222.0,False,0.0,25,2026-06-01 20:25:45,False,
163,415,4251,18,2,442.0,False,0.0,35,2026-05-31 12:45:28,True,High Delivery Fee
164,417,8583,360,3,302.0,False,0.0,0,2026-04-03 21:57:37,False,
165,422,4522,475,2,346.0,False,0.0,25,2026-07-14 20:43:00,False,
166,424,1882,168,5,1721.0,False,0.0,49,2026-06-22 22:04:23,True,High Delivery Fee
167,426,4580,371,1,125.0,False,0.0,25,2026-05-15 14:22:39,True,Low Cart Value
168,427,4509,340,2,146.0,False,0.0,25,2026-04-29 21:38:45,True,Low Cart Value
169,428,4945,472,3,864.0,True,247.0,35,2026-04-21 09:20:56,False,
170,429,4711,110,4,1751.0,False,0.0,35,2026-03-14 19:06:35,True,High Delivery Fee
171,433,2468,28,2,337.0,False,0.0,0,2026-07-03 13:24:26,True,Long Delivery Time
172,434,8521,32,2,401.0,True,73.0,0,2026-05-09 09:04:30,False,
173,441,3424,77,3,575.0,False,0.0,0,2026-05-02 13:09:30,False,
174,448,1016,157,4,408.0,False,0.0,0,2026-07-16 12:12:57,True,Found Better Option
175,449,7535,363,1,237.0,False,0.0,0,2026-06-22 13:03:45,False,
176,454,2680,246,3,513.0,True,83.0,0,2026-08-08 20:29:12,False,
177,455,1864,76,3,1208.0,False,0.0,49,2026-08-10 09:24:17,True,High Delivery Fee
178,458,8549,426,3,530.0,True,57.0,15,2026-03-05 20:27:32,True,Price Too High
179,459,9558,449,2,222.0,False,0.0,25,2026-03-31 08:32:38,False,
180,460,9633,471,4,739.0,False,0.0,0,2026-03-27 13:33:07,False,
181,463,2491,205,1,272.0,True,58.0,25,2026-04-13 13:23:17,True,Found Better Option
182,465,8607,271,3,234.0,False,0.0,25,2026-04-12 14:42:37,False,
183,466,7062,27,1,365.0,False,0.0,25,2026-04-05 08:23:55,False,
184,468,5848,394,3,603.0,True,159.0,15,2026-03-21 21:24:26,False,
185,469,8287,80,4,2035.0,True,326.0,0,2026-03-27 14:39:17,False,
186,476,3491,195,4,224.0,True,47.0,35,2026-07-12 21:40:35,False,
187,483,1584,414,2,334.0,True,46.0,0,2026-08-19 07:06:46,False,
188,489,8292,144,1,118.0,False,0.0,15,2026-05-05 18:25:08,False,
189,495,8110,116,4,684.0,False,0.0,0,2026-07-21 20:35:27,False,
190,498,5009,428,1,167.0,True,43.0,15,2026-03-16 12:41:46,False,
191,499,1133,271,1,65.0,False,0.0,25,2026-07-20 15:33:31,False,
192,501,1159,206,1,117.0,True,22.0,49,2026-07-04 00:19:24,False,
193,503,3341,34,2,529.0,True,117.0,15,2026-08-11 19:57:20,False,
194,506,131,210,3,1238.0,False,0.0,25,2026-04-17 13:39:27,False,
195,507,9320,119,4,522.0,False,0.0,25,2026-06-27 19:21:34,False,
196,508,4435,468,1,122.0,False,0.0,15,2026-03-26 21:33:32,False,
197,511,4603,90,3,616.0,False,0.0,15,2026-06-13 17:55:38,True,Found Better Option
198,512,23,99,4,337.0,False,0.0,35,2026-05-11 12:11:40,False,
199,514,9217,2,4,1614.0,True,477.0,0,2026-05-19 11:52:12,False,
200,515,8850,444,3,656.0,True,137.0,25,2026-08-19 13:29:42,False,
201,518,1983,97,1,132.0,False,0.0,0,2026-04-24 13:40:59,False,
202,522,2424,205,4,1481.0,True,175.0,25,2026-05-02 19:09:00,True,Long Delivery Time
203,524,2742,409,2,348.0,False,0.0,0,2026-04-02 13:55:27,False,
204,525,5744,283,4,704.0,False,0.0,0,2026-08-24 11:19:26,False,
205,527,5280,330,3,181.0,False,0.0,49,2026-07-26 14:29:25,False,
206,531,5028,218,2,519.0,True,91.0,49,2026-05-07 16:06:09,True,High Delivery Fee
207,532,6925,401,2,276.0,False,0.0,15,2026-03-29 17:05:24,False,
208,534,437,351,4,984.0,False,0.0,0,2026-04-27 12:12:10,False,
209,535,6382,449,2,247.0,False,0.0,25,2026-05-01 23:34:39,False,
210,537,1528,392,2,1115.0,True,277.0,0,2026-06-23 22:01:59,False,
211,538,7240,24,4,291.0,True,81.0,35,2026-04-09 20:49:19,False,
212,539,8097,193,3,730.0,False,0.0,0,2026-04-22 07:02:21,False,
213,540,1384,140,4,236.0,False,0.0,0,2026-08-11 07:37:52,False,
214,541,38,307,4,1129.0,False,0.0,35,2026-07-19 11:41:19,False,
215,545,6563,463,4,880.0,True,90.0,15,2026-03-31 19:02:27,False,
216,546,8336,297,3,341.0,True,94.0,15,2026-06-19 11:24:11,False,
217,548,6104,347,3,766.0,True,215.0,25,2026-07-19 15:59:41,False,
218,550,8407,192,5,3578.0,True,533.0,0,2026-08-03 13:11:09,False,
219,552,530,350,1,260.0,True,37.0,0,2026-06-26 13:35:39,False,
220,557,3672,430,5,687.0,True,141.0,0,2026-07-24 16:33:32,False,
221,559,1610,468,2,252.0,False,0.0,15,2026-08-21 23:28:43,False,
222,567,7380,218,2,633.0,True,185.0,0,2026-03-05 14:14:34,False,
223,568,1277,391,2,189.0,False,0.0,25,2026-05-31 17:47:18,False,
224,571,4111,429,5,2531.0,True,476.0,35,2026-04-09 12:48:14,False,
225,574,7638,440,4,449.0,False,0.0,15,2026-04-16 16:07:46,False,
226,576,8827,74,2,544.0,True,161.0,0,2026-06-28 08:01:40,False,
227,578,3041,112,3,638.0,True,107.0,0,2026-08-18 12:05:27,False,
228,579,2580,209,2,478.0,False,0.0,0,2026-08-05 10:07:28,False,
229,583,7184,394,1,189.0,False,0.0,15,2026-06-20 18:22:06,False,
230,585,6562,246,1,170.0,False,0.0,0,2026-04-02 22:33:52,True,Changed Mind
231,590,9705,378,3,688.0,False,0.0,0,2026-05-11 20:02:29,False,
232,591,1355,175,2,168.0,True,40.0,25,2026-06-24 09:42:40,False,
233,592,8705,333,2,859.0,False,0.0,0,2026-03-19 12:25:39,False,
234,598,1065,458,1,153.0,True,18.0,49,2026-05-09 18:07:21,True,High Delivery Fee
235,600,7500,408,2,552.0,False,0.0,35,2026-05-15 13:56:05,False,
236,604,9129,462,3,505.0,True,103.0,15,2026-05-21 15:34:29,True,Changed Mind
237,606,2916,119,1,200.0,False,0.0,0,2026-05-29 18:53:04,False,
238,607,94,134,2,418.0,False,0.0,0,2026-03-11 12:03:15,False,
239,611,9532,393,4,576.0,True,67.0,0,2026-04-10 07:28:24,False,
240,614,4723,416,3,1235.0,True,205.0,15,2026-07-14 14:49:52,False,
241,615,7036,26,2,465.0,False,0.0,25,2026-04-03 13:18:32,True,Long Delivery Time
242,618,7751,369,1,666.0,False,0.0,0,2026-08-15 11:42:50,False,
243,619,9111,394,2,582.0,True,80.0,0,2026-03-02 22:18:36,False,
244,623,6975,291,4,384.0,True,112.0,0,2026-03-19 13:09:41,False,
245,624,6473,246,1,280.0,False,0.0,0,2026-03-12 04:15:42,True,Found Better Option
246,625,3587,85,1,599.0,True,162.0,0,2026-05-16 19:24:26,False,
247,628,4125,59,5,1248.0,False,0.0,0,2026-07-05 22:03:38,False,
248,630,8186,483,1,236.0,True,58.0,25,2026-03-06 15:23:23,False,
249,634,2147,436,2,443.0,True,122.0,35,2026-06-10 19:03:06,False,
250,636,7192,88,4,621.0,False,0.0,0,2026-07-25 12:43:29,False,
251,637,4758,151,1,193.0,False,0.0,25,2026-04-25 19:55:19,False,
252,638,3384,283,1,238.0,False,0.0,0,2026-05-05 09:03:55,False,
253,639,3802,115,1,126.0,False,0.0,25,2026-08-25 09:47:20,True,Low Cart Value
254,642,1240,329,2,270.0,False,0.0,0,2026-08-15 21:18:52,False,
255,646,5120,375,1,106.0,True,15.0,35,2026-03-26 17:24:01,False,
256,648,290,191,2,641.0,False,0.0,49,2026-07-03 20:15:03,True,High Delivery Fee
257,651,9008,386,2,307.0,True,38.0,25,2026-03-22 16:46:54,False,
258,655,3977,250,2,228.0,True,66.0,49,2026-04-08 05:12:11,True,High Delivery Fee
259,663,4333,433,2,365.0,True,101.0,0,2026-03-31 20:55:25,False,
260,665,1990,233,2,706.0,True,105.0,0,2026-05-07 16:13:42,False,
261,673,6889,476,5,2045.0,False,0.0,0,2026-03-03 14:45:10,False,
262,689,8494,201,2,778.0,True,207.0,0,2026-05-24 22:16:01,False,
263,691,9351,386,1,124.0,False,0.0,25,2026-04-12 21:39:08,False,
264,692,819,24,3,192.0,False,0.0,35,2026-04-02 12:04:02,False,
265,697,8713,280,3,341.0,True,46.0,49,2026-04-19 17:51:13,False,
266,702,403,222,3,541.0,True,134.0,0,2026-06-27 01:11:37,False,
267,705,6351,218,1,307.0,True,38.0,49,2026-08-10 10:01:58,False,
268,706,4208,194,2,1067.0,True,181.0,0,2026-03-15 21:53:12,False,
269,710,6490,280,4,704.0,False,0.0,49,2026-07-16 18:46:53,False,
270,711,5569,371,2,259.0,False,0.0,25,2026-07-12 21:02:49,True,Found Better Option
271,714,7593,365,2,175.0,False,0.0,25,2026-06-02 18:58:24,False,
272,715,6978,144,2,284.0,True,66.0,15,2026-04-21 12:35:18,True,Price Too High
273,717,6989,43,2,234.0,False,0.0,49,2026-05-02 20:11:22,False,
274,723,7526,340,1,56.0,True,16.0,25,2026-03-05 19:05:34,False,
275,726,319,238,2,435.0,True,107.0,0,2026-04-25 22:48:45,False,
276,729,1558,318,3,854.0,False,0.0,0,2026-05-02 21:02:26,False,
277,731,8529,190,2,366.0,False,0.0,15,2026-07-17 11:29:53,False,
278,732,9183,140,2,195.0,False,0.0,35,2026-05-15 17:07:50,False,
279,733,5811,386,5,640.0,False,0.0,25,2026-03-02 18:03:14,False,
280,737,5545,434,1,158.0,True,16.0,25,2026-04-13 05:47:19,False,
281,739,4964,73,3,760.0,False,0.0,25,2026-06-06 11:06:37,False,
282,740,9337,261,3,1713.0,True,404.0,25,2026-04-23 13:51:23,False,
283,741,9661,381,3,536.0,True,149.0,15,2026-08-24 12:22:10,True,Found Better Option
284,743,7950,98,1,198.0,True,51.0,35,2026-03-22 12:32:47,False,
285,745,853,157,2,163.0,False,0.0,15,2026-08-24 17:05:08,True,Price Too High
286,746,1871,156,2,384.0,False,0.0,25,2026-03-06 19:51:45,False,
287,748,2148,90,3,465.0,False,0.0,0,2026-07-12 21:55:04,True,Long Delivery Time
288,749,2350,171,2,308.0,True,33.0,35,2026-08-22 22:51:16,False,
289,751,4409,29,5,1028.0,True,255.0,0,2026-05-05 14:15:40,False,
290,752,8868,124,3,510.0,True,132.0,0,2026-07-23 10:14:47,False,
291,754,267,392,2,729.0,False,0.0,35,2026-07-09 00:11:25,False,
292,755,7588,422,5,817.0,True,118.0,0,2026-04-17 20:05:22,False,
293,757,9415,273,1,327.0,False,0.0,0,2026-06-22 16:42:49,False,
294,758,8946,220,1,181.0,True,53.0,25,2026-05-22 13:45:41,False,
295,762,8324,381,3,509.0,False,0.0,15,2026-06-03 22:00:56,True,Found Better Option
296,764,7367,26,3,628.0,False,0.0,0,2026-06-18 19:44:19,True,Found Better Option
297,765,9165,276,5,951.0,False,0.0,35,2026-04-26 08:55:10,False,
298,774,8717,40,3,1140.0,False,0.0,0,2026-06-29 14:21:28,False,
299,775,1024,235,3,447.0,False,0.0,0,2026-04-13 14:37:24,False,
300,782,7261,500,3,1025.0,True,184.0,35,2026-03-16 20:01:00,True,High Delivery Fee
301,784,3617,117,2,355.0,False,0.0,0,2026-03-14 08:36:33,False,
302,786,801,4,1,182.0,True,52.0,25,2026-05-18 12:15:44,False,
303,787,7624,465,5,616.0,True,141.0,0,2026-08-25 16:22:27,False,
304,788,5366,372,1,126.0,True,32.0,25,2026-08-09 07:20:35,False,
305,790,3698,250,2,327.0,True,89.0,49,2026-07-28 22:15:16,False,
306,791,142,163,3,1900.0,False,0.0,0,2026-06-23 12:08:45,False,
307,792,5325,234,3,1255.0,False,0.0,0,2026-04-09 09:50:40,False,
308,798,6930,466,3,908.0,False,0.0,0,2026-08-04 12:22:50,True,Changed Mind
309,799,9489,124,5,737.0,False,0.0,59,2026-08-26 07:35:00,True,High Delivery Fee
310,800,442,190,4,779.0,False,0.0,0,2026-03-16 13:19:10,False,
311,802,3939,224,1,196.0,False,0.0,15,2026-03-02 18:48:37,False,
312,803,2820,96,3,440.0,False,0.0,35,2026-05-14 18:42:07,False,
313,804,4907,279,3,702.0,True,195.0,0,2026-07-24 20:05:34,False,
314,805,4122,403,2,158.0,False,0.0,25,2026-03-25 20:12:45,False,
315,817,2088,193,2,502.0,False,0.0,0,2026-06-22 18:42:06,False,
316,821,2113,6,1,194.0,True,35.0,35,2026-04-25 14:46:48,False,
317,826,7756,411,4,643.0,False,0.0,49,2026-05-23 08:18:06,False,
318,828,977,372,1,140.0,False,0.0,25,2026-08-15 10:01:07,False,
319,829,4919,385,4,496.0,False,0.0,0,2026-04-25 12:54:27,False,
320,832,6160,70,2,378.0,False,0.0,15,2026-08-10 20:06:43,False,
321,834,9458,162,2,806.0,False,0.0,35,2026-06-04 11:40:24,False,
322,838,3326,175,1,100.0,False,0.0,25,2026-05-14 11:19:21,False,
323,839,3826,174,1,379.0,False,0.0,0,2026-04-25 15:41:38,False,
324,842,2378,406,2,187.0,False,0.0,15,2026-03-12 17:33:39,True,Price Too High
325,843,7113,198,4,799.0,True,203.0,0,2026-06-09 14:34:14,False,
326,845,6163,399,5,877.0,False,0.0,0,2026-06-25 12:43:12,False,
327,847,8497,329,4,534.0,False,0.0,35,2026-06-18 22:05:51,True,High Delivery Fee
328,848,6884,368,2,387.0,True,51.0,15,2026-08-25 19:42:29,False,
329,851,1394,398,2,723.0,False,0.0,25,2026-08-02 12:20:44,False,
330,852,2427,268,1,172.0,False,0.0,0,2026-07-08 09:28:05,False,
331,854,4781,91,3,1416.0,False,0.0,0,2026-07-20 12:28:08,True,Found Better Option
332,859,5593,52,4,696.0,False,0.0,25,2026-05-12 21:32:33,False,
333,863,4293,239,3,449.0,True,96.0,49,2026-05-10 06:57:08,False,
334,867,28,438,1,228.0,False,0.0,35,2026-06-13 13:46:13,True,High Delivery Fee
335,868,8474,62,2,559.0,False,0.0,0,2026-08-04 21:17:27,False,
336,874,7146,423,4,554.0,True,137.0,0,2026-08-10 10:09:36,False,
337,875,6903,453,3,433.0,False,0.0,35,2026-05-14 21:09:40,False,
338,878,4998,498,2,648.0,True,147.0,0,2026-07-17 19:09:07,False,
339,881,9433,334,1,201.0,True,31.0,0,2026-07-25 13:48:48,False,
340,883,1114,26,2,313.0,False,0.0,25,2026-04-15 17:03:03,False,
341,884,5216,68,2,280.0,False,0.0,0,2026-04-24 09:43:26,True,Changed Mind
342,896,4553,263,3,297.0,False,0.0,35,2026-05-30 21:42:50,True,High Delivery Fee
343,898,2774,123,1,302.0,False,0.0,35,2026-05-30 17:38:19,False,
