order_id,session_id,user_id,cart_id,restaurant_id,cuisine,items_count,cart_value,discount,delivery_fee,final_order_value,payment_method,delivery_time_mins,rating_given,coupon_applied,timestamp,city
23,103,2888,32,115,South Indian,2,403.0,0.0,25,428.0,COD,19,3.0,False,2026-03-13 20:45:20,Mumbai
24,109,9724,34,191,Desserts,1,473.0,0.0,49,522.0,UPI,27,5.0,False,2026-07-11 13:26:10,Bangalore
25,111,488,35,169,South Indian,3,743.0,146.0,0,597.0,UPI,45,3.0,True,2026-06-09 18:25:16,Pune
26,112,8034,36,321,Fast Food,3,652.0,0.0,0,652.0,Credit Card,28,5.0,False,2026-07-13 13:38:18,Bangalore
27,114,8047,38,222,North Indian,2,340.0,0.0,0,340.0,Wallet,32,5.0,False,2026-04-24 18:49:54,Lucknow
28,117,9643,39,388,North Indian,3,630.0,0.0,0,630.0,COD,31,5.0,False,2026-05-09 19:18:16,Mumbai
29,122,6985,42,430,Italian,3,260.0,0.0,0,260.0,Wallet,40,4.0,False,2026-03-16 11:49:07,Mumbai
30,124,2241,43,349,North Indian,4,615.0,62.0,0,553.0,Wallet,12,4.0,True,2026-08-14 19:44:31,Chennai
31,126,7908,45,85,Biryani,3,1404.0,0.0,25,1429.0,UPI,41,4.0,False,2026-03-11 14:40:22,Bangalore
32,129,9413,46,245,Biryani,3,455.0,129.0,49,375.0,Credit Card,62,3.0,True,2026-07-18 14:47:28,Hyderabad
33,134,5105,48,247,Pizza,4,1127.0,0.0,0,1127.0,UPI,70,,False,2026-07-21 20:45:29,Kolkata
34,137,1343,49,306,North Indian,3,442.0,0.0,0,442.0,UPI,54,,False,2026-06-10 07:49:51,Delhi NCR
35,140,260,50,253,Rolls,1,131.0,0.0,15,146.0,COD,36,,False,2026-05-02 19:39:53,Mumbai
36,142,4867,51,302,Italian,2,517.0,60.0,0,457.0,Wallet,39,4.0,True,2026-05-22 11:53:09,Chennai
37,143,4650,52,349,North Indian,2,224.0,0.0,0,224.0,UPI,37,5.0,False,2026-05-02 10:38:39,Chennai
38,145,9651,53,419,Fast Food,3,811.0,219.0,25,617.0,Wallet,15,,True,2026-07-29 21:03:24,Hyderabad
39,149,5975,54,96,Chinese,1,141.0,0.0,35,176.0,Debit Card,54,1.0,False,2026-05-05 19:45:05,Mumbai
40,150,9762,55,72,Biryani,3,1856.0,239.0,0,1617.0,Debit Card,34,,True,2026-03-05 10:06:34,Bangalore
41,153,7597,56,220,Chinese,2,449.0,110.0,0,339.0,UPI,41,,True,2026-06-21 20:01:32,Jaipur
42,166,9923,59,100,Healthy Food,1,356.0,0.0,0,356.0,UPI,36,,False,2026-04-04 12:38:23,Bangalore
43,170,4628,60,429,Street Food,2,1186.0,0.0,35,1221.0,Wallet,28,4.0,False,2026-05-19 20:44:26,Delhi NCR
44,172,4110,61,321,Fast Food,2,461.0,0.0,35,496.0,UPI,37,,False,2026-03-14 16:25:56,Bangalore
45,173,5353,62,154,South Indian,1,98.0,0.0,15,113.0,UPI,28,4.0,False,2026-08-29 17:18:05,Hyderabad
46,176,9238,63,457,Healthy Food,3,713.0,90.0,25,648.0,Debit Card,48,4.0,True,2026-07-05 15:05:00,Pune
47,177,3994,64,482,Biryani,4,500.0,125.0,0,375.0,Credit Card,64,1.0,True,2026-06-05 13:13:45,Pune
48,181,2927,66,450,Italian,2,387.0,0.0,15,402.0,Debit Card,41,5.0,False,2026-04-01 17:18:11,Hyderabad
49,182,1074,67,386,Chinese,1,142.0,31.0,25,136.0,UPI,49,,True,2026-05-16 16:57:24,Kolkata
50,184,1866,69,425,South Indian,2,398.0,0.0,15,413.0,UPI,32,4.0,False,2026-03-20 19:25:27,Mumbai
51,186,2389,70,416,Thai,3,850.0,0.0,0,850.0,UPI,41,4.0,False,2026-06-03 17:54:49,Mumbai
52,188,6364,71,159,Chinese,3,545.0,0.0,0,545.0,Debit Card,12,,False,2026-06-14 09:41:20,Chennai
53,190,9404,72,267,South Indian,1,168.0,0.0,0,168.0,UPI,36,,False,2026-06-13 13:49:36,Delhi NCR
54,193,5188,73,65,North Indian,1,565.0,0.0,0,565.0,COD,48,4.0,False,2026-04-15 13:46:33,Mumbai
55,203,8994,81,406,Fast Food,5,723.0,0.0,15,738.0,Debit Card,50,,False,2026-08-11 19:46:59,Delhi NCR
56,207,6998,83,1,Desserts,5,1046.0,0.0,0,1046.0,Debit Card,43,5.0,False,2026-04-12 19:36:15,Delhi NCR
57,209,6538,85,167,Biryani,3,820.0,150.0,35,705.0,UPI,26,2.0,True,2026-06-02 14:35:50,Lucknow
58,211,8904,86,316,Italian,2,690.0,0.0,15,705.0,UPI,22,,False,2026-04-01 20:31:28,Mumbai
59,215,4941,87,70,Pizza,1,141.0,0.0,15,156.0,Credit Card,20,5.0,False,2026-04-14 13:29:26,Mumbai
60,218,6208,88,146,Italian,5,1962.0,419.0,0,1543.0,UPI,50,5.0,True,2026-08-15 19:50:23,Delhi NCR
61,229,1533,91,320,Street Food,1,133.0,37.0,15,111.0,UPI,44,5.0,True,2026-05-17 20:08:11,Pune
62,230,2493,92,88,Biryani,2,283.0,75.0,25,233.0,COD,22,5.0,True,2026-08-09 21:50:43,Bangalore
63,245,3933,94,90,Biryani,5,852.0,0.0,0,852.0,Wallet,47,,False,2026-03-07 15:57:55,Mumbai
64,253,409,95,355,Street Food,1,173.0,0.0,15,188.0,Wallet,12,5.0,False,2026-04-27 04:36:13,Mumbai
65,257,9097,96,404,Healthy Food,2,458.0,0.0,15,473.0,COD,48,5.0,False,2026-03-29 17:38:18,Mumbai
66,267,926,99,376,Biryani,4,709.0,0.0,0,709.0,UPI,22,4.0,False,2026-07-03 15:29:08,Pune
67,269,4467,100,350,Desserts,3,699.0,0.0,49,748.0,UPI,24,4.0,False,2026-06-02 05:24:17,Chennai
68,270,5910,101,71,Street Food,3,454.0,0.0,15,469.0,COD,24,5.0,False,2026-07-24 20:53:20,Hyderabad
69,273,5604,102,255,North Indian,2,612.0,0.0,35,647.0,Credit Card,33,5.0,False,2026-03-14 16:03:09,Bangalore
70,274,5465,103,153,Chinese,4,1378.0,183.0,0,1195.0,Credit Card,19,,True,2026-08-22 11:09:48,Hyderabad
71,279,715,104,68,Chinese,1,94.0,21.0,0,73.0,Debit Card,58,4.0,True,2026-05-20 00:52:19,Hyderabad
72,285,2698,105,496,Fast Food,2,729.0,0.0,25,754.0,Credit Card,12,5.0,False,2026-04-07 16:15:58,Delhi NCR
73,286,6925,106,192,Italian,2,1018.0,112.0,0,906.0,Wallet,38,4.0,True,2026-08-25 13:39:32,Pune
74,288,3879,108,450,Italian,3,610.0,153.0,0,457.0,Wallet,30,5.0,True,2026-06-08 16:34:54,Hyderabad
75,296,9391,110,500,Biryani,2,738.0,200.0,0,538.0,COD,35,5.0,True,2026-05-01 00:01:11,Mumbai
76,300,8339,111,388,North Indian,2,294.0,43.0,0,251.0,UPI,24,,True,2026-03-04 16:00:13,Mumbai
77,302,8650,112,283,Fast Food,2,310.0,0.0,0,310.0,Wallet,22,5.0,False,2026-04-04 20:20:25,Bangalore
78,304,8515,113,453,Thai,2,327.0,0.0,35,362.0,COD,43,1.0,False,2026-06-22 10:55:53,Pune
79,305,3605,114,67,Chinese,3,406.0,0.0,15,421.0,COD,43,,False,2026-05-11 22:40:28,Pune
80,309,3349,115,380,Italian,4,608.0,64.0,0,544.0,Wallet,51,3.0,True,2026-06-25 15:14:46,Bangalore
81,310,6953,116,28,Street Food,2,399.0,0.0,0,399.0,COD,40,,False,2026-03-17 19:27:05,Jaipur
82,316,6710,117,384,Italian,3,761.0,0.0,0,761.0,Debit Card,24,4.0,False,2026-03-07 14:57:24,Delhi NCR
83,318,3456,118,452,Chinese,4,615.0,164.0,25,476.0,UPI,45,5.0,True,2026-03-12 21:26:35,Delhi NCR
84,321,6067,120,500,Biryani,3,1145.0,270.0,35,910.0,COD,36,,True,2026-04-15 09:13:56,Mumbai
85,323,3594,121,288,Italian,3,413.0,97.0,0,316.0,Wallet,34,4.0,True,2026-07-16 22:10:03,Bangalore
86,325,7097,122,324,Fast Food,1,179.0,0.0,35,214.0,Wallet,45,4.0,False,2026-03-31 11:24:02,Mumbai
87,326,9587,123,287,South Indian,2,118.0,24.0,59,153.0,UPI,12,5.0,True,2026-05-04 16:00:26,Ahmedabad
88,327,4761,124,473,Continental,2,604.0,0.0,0,604.0,Debit Card,59,4.0,False,2026-07-24 18:57:24,Kolkata
89,331,4110,126,299,South Indian,2,795.0,99.0,25,721.0,UPI,32,5.0,True,2026-04-09 14:24:19,Bangalore
90,333,7210,128,280,Chinese,3,400.0,0.0,49,449.0,UPI,37,4.0,False,2026-08-26 11:08:46,Chennai
91,338,7754,130,278,South Indian,4,1334.0,0.0,0,1334.0,Wallet,61,5.0,False,2026-04-10 19:20:03,Mumbai
92,339,2055,131,370,Italian,1,68.0,0.0,15,83.0,UPI,38,4.0,False,2026-08-01 08:43:51,Bangalore
93,341,9991,133,265,North Indian,1,317.0,0.0,0,317.0,UPI,27,4.0,False,2026-07-11 20:13:16,Chennai
94,343,8590,135,98,Chinese,3,787.0,111.0,35,711.0,Credit Card,18,5.0,True,2026-04-15 19:04:44,Bangalore
95,346,1921,136,65,North Indian,2,1124.0,0.0,25,1149.0,UPI,45,4.0,False,2026-07-24 12:01:24,Mumbai
96,353,4783,137,79,Street Food,3,483.0,0.0,25,508.0,UPI,28,5.0,False,2026-06-15 12:35:54,Hyderabad
97,367,8761,139,280,Chinese,1,193.0,31.0,49,211.0,Debit Card,41,,True,2026-07-31 15:13:52,Chennai
98,375,6018,142,164,Chinese,1,104.0,11.0,49,142.0,Credit Card,28,1.0,True,2026-07-09 22:04:55,Ahmedabad
99,378,671,143,323,Mughlai,4,1463.0,0.0,0,1463.0,Wallet,47,4.0,False,2026-08-03 10:59:32,Ahmedabad
100,379,9478,144,466,Desserts,4,1052.0,0.0,0,1052.0,COD,49,,False,2026-04-23 14:00:50,Hyderabad
101,383,2985,145,152,Desserts,5,1367.0,0.0,25,1392.0,UPI,47,5.0,False,2026-06-10 19:40:32,Kolkata
102,386,1181,146,143,Chinese,3,603.0,0.0,25,628.0,UPI,29,4.0,False,2026-06-30 20:00:40,Bangalore
103,389,2476,148,268,Biryani,3,517.0,0.0,0,517.0,UPI,26,5.0,False,2026-04-24 11:19:47,Chennai
104,390,5735,149,35,South Indian,4,1306.0,195.0,25,1136.0,COD,47,4.0,True,2026-04-06 21:38:55,Chennai
105,391,1677,150,172,South Indian,3,711.0,0.0,0,711.0,UPI,45,,False,2026-07-03 14:02:52,Mumbai
106,393,8881,151,236,South Indian,3,768.0,201.0,25,592.0,Credit Card,12,,True,2026-08-12 07:53:52,Delhi NCR
107,394,9793,152,59,Pizza,3,583.0,63.0,0,520.0,UPI,27,4.0,True,2026-07-15 12:19:34,Mumbai
108,395,4712,153,35,South Indian,2,586.0,98.0,25,513.0,Debit Card,41,3.0,True,2026-05-02 18:01:33,Chennai
109,397,6810,155,236,South Indian,2,635.0,0.0,25,660.0,Credit Card,28,,False,2026-06-07 05:28:15,Delhi NCR
110,398,3764,156,156,Mughlai,2,478.0,116.0,25,387.0,Wallet,26,4.0,True,2026-08-08 09:13:08,Chennai
111,404,4386,159,500,Biryani,3,1492.0,0.0,35,1527.0,UPI,42,4.0,False,2026-04-21 07:42:23,Mumbai
112,409,7264,161,378,South Indian,3,641.0,116.0,15,540.0,Wallet,52,3.0,True,2026-04-26 13:36:06,Chennai
113,413,4398,162,422,South Indian,1,222.0,0.0,25,247.0,Debit Card,34,,False,2026-06-01 20:31:30,Delhi NCR
114,422,4522,165,475,Desserts,2,346.0,0.0,25,371.0,COD,21,4.0,False,2026-07-14 20:47:45,Mumbai
115,428,4945,169,472,Fast Food,3,864.0,247.0,35,652.0,UPI,57,,True,2026-04-21 09:25:11,Mumbai
116,434,8521,172,32,Biryani,2,401.0,73.0,0,328.0,UPI,55,5.0,True,2026-05-09 09:10:48,Jaipur
117,441,3424,173,77,North Indian,3,575.0,0.0,0,575.0,UPI,34,4.0,False,2026-05-02 13:12:38,Bangalore
118,449,7535,175,363,Chinese,1,237.0,0.0,0,237.0,Credit Card,44,2.0,False,2026-06-22 13:09:10,Mumbai
119,454,2680,176,246,Chinese,3,513.0,83.0,0,430.0,COD,45,4.0,True,2026-08-08 20:34:20,Kolkata
120,465,8607,182,271,Biryani,3,234.0,0.0,25,259.0,UPI,53,3.0,False,2026-04-12 14:46:25,Delhi NCR
121,466,7062,183,27,Biryani,1,365.0,0.0,25,390.0,UPI,22,5.0,False,2026-04-05 08:27:23,Pune
122,469,8287,185,80,Pizza,4,2035.0,326.0,0,1709.0,UPI,28,,True,2026-03-27 14:44:44,Delhi NCR
123,476,3491,186,195,Italian,4,224.0,47.0,35,212.0,UPI,14,4.0,True,2026-07-12 21:44:55,Delhi NCR
124,483,1584,187,414,Fast Food,2,334.0,46.0,0,288.0,Debit Card,37,5.0,True,2026-08-19 07:10:39,Bangalore
125,489,8292,188,144,Chinese,1,118.0,0.0,15,133.0,UPI,22,4.0,False,2026-05-05 18:30:59,Mumbai
126,495,8110,189,116,Chinese,4,684.0,0.0,0,684.0,COD,62,,False,2026-07-21 20:39:35,Mumbai
127,498,5009,190,428,North Indian,1,167.0,43.0,15,139.0,UPI,31,3.0,True,2026-03-16 12:44:37,Mumbai
128,499,1133,191,271,Biryani,1,65.0,0.0,25,90.0,Credit Card,58,,False,2026-07-20 15:37:24,Delhi NCR
129,501,1159,192,206,Thai,1,117.0,22.0,49,144.0,Wallet,46,4.0,True,2026-07-04 00:25:53,Ahmedabad
130,503,3341,193,34,Biryani,2,529.0,117.0,15,427.0,Credit Card,50,,True,2026-08-11 20:01:20,Kolkata
131,506,131,194,210,Continental,3,1238.0,0.0,25,1263.0,UPI,25,,False,2026-04-17 13:43:19,Bangalore
132,507,9320,195,119,South Indian,4,522.0,0.0,25,547.0,Wallet,20,,False,2026-06-27 19:24:45,Delhi NCR
133,508,4435,196,468,Healthy Food,1,122.0,0.0,15,137.0,Debit Card,32,,False,2026-03-26 21:38:01,Jaipur
134,512,23,198,99,Fast Food,4,337.0,0.0,35,372.0,Credit Card,55,3.0,False,2026-05-11 12:16:55,Ahmedabad
135,514,9217,199,2,Continental,4,1614.0,477.0,0,1137.0,UPI,21,5.0,True,2026-05-19 11:55:54,Delhi NCR
136,515,8850,200,444,Biryani,3,656.0,137.0,25,544.0,Credit Card,22,,True,2026-08-19 13:33:15,Bangalore
137,518,1983,201,97,South Indian,1,132.0,0.0,0,132.0,UPI,44,,False,2026-04-24 13:45:57,Hyderabad
138,524,2742,203,409,Street Food,2,348.0,0.0,0,348.0,COD,25,4.0,False,2026-04-02 14:00:17,Kolkata
139,525,5744,204,283,Fast Food,4,704.0,0.0,0,704.0,UPI,43,1.0,False,2026-08-24 11:24:42,Bangalore
140,527,5280,205,330,Street Food,3,181.0,0.0,49,230.0,UPI,21,5.0,False,2026-07-26 14:33:40,Mumbai
141,532,6925,207,401,Biryani,2,276.0,0.0,15,291.0,UPI,26,,False,2026-03-29 17:10:57,Pune
142,534,437,208,351,Chinese,4,984.0,0.0,0,984.0,Debit Card,25,5.0,False,2026-04-27 12:16:44,Kolkata
143,535,6382,209,449,North Indian,2,247.0,0.0,25,272.0,UPI,13,,False,2026-05-01 23:37:52,Bangalore
144,537,1528,210,392,Street Food,2,1115.0,277.0,0,838.0,Wallet,34,5.0,True,2026-06-23 22:04:19,Delhi NCR
145,538,7240,211,24,Continental,4,291.0,81.0,35,245.0,UPI,34,2.0,True,2026-04-09 20:53:44,Delhi NCR
146,539,8097,212,193,Thai,3,730.0,0.0,0,730.0,Wallet,49,,False,2026-04-22 07:07:11,Hyderabad
147,540,1384,213,140,Pizza,4,236.0,0.0,0,236.0,Credit Card,23,4.0,False,2026-08-11 07:41:15,Chennai
148,541,38,214,307,Biryani,4,1129.0,0.0,35,1164.0,UPI,33,4.0,False,2026-07-19 11:46:05,Pune
149,545,6563,215,463,Mughlai,4,880.0,90.0,15,805.0,UPI,37,,True,2026-03-31 19:06:53,Lucknow
150,546,8336,216,297,Biryani,3,341.0,94.0,15,262.0,Wallet,51,4.0,True,2026-06-19 11:29:18,Hyderabad
151,548,6104,217,347,Street Food,3,766.0,215.0,25,576.0,UPI,28,,True,2026-07-19 16:03:49,Delhi NCR
152,550,8407,218,192,Italian,5,3578.0,533.0,0,3045.0,UPI,33,4.0,True,2026-08-03 13:15:50,Pune
153,552,530,219,350,Desserts,1,260.0,37.0,0,223.0,Wallet,41,2.0,True,2026-06-26 13:39:22,Chennai
154,557,3672,220,430,Italian,5,687.0,141.0,0,546.0,Wallet,58,1.0,True,2026-07-24 16:37:43,Mumbai
155,559,1610,221,468,Healthy Food,2,252.0,0.0,15,267.0,UPI,45,,False,2026-08-21 23:32:30,Jaipur
156,567,7380,222,218,Italian,2,633.0,185.0,0,448.0,Debit Card,33,,True,2026-03-05 14:20:51,Hyderabad
157,568,1277,223,391,Continental,2,189.0,0.0,25,214.0,UPI,39,3.0,False,2026-05-31 17:52:29,Mumbai
158,574,7638,225,440,Rolls,4,449.0,0.0,15,464.0,Credit Card,24,4.0,False,2026-04-16 16:12:47,Bangalore
159,576,8827,226,74,South Indian,2,544.0,161.0,0,383.0,COD,33,5.0,True,2026-06-28 08:06:28,Pune
160,578,3041,227,112,South Indian,3,638.0,107.0,0,531.0,UPI,26,2.0,True,2026-08-18 12:09:17,Jaipur
161,579,2580,228,209,Pizza,2,478.0,0.0,0,478.0,Credit Card,64,1.0,False,2026-08-05 10:11:12,Ahmedabad
162,583,7184,229,394,South Indian,1,189.0,0.0,15,204.0,COD,28,3.0,False,2026-06-20 18:26:18,Kolkata
163,590,9705,231,378,South Indian,3,688.0,0.0,0,688.0,UPI,51,3.0,False,2026-05-11 20:08:04,Chennai
164,591,1355,232,175,Chinese,2,168.0,40.0,25,153.0,UPI,44,3.0,True,2026-06-24 09:48:21,Mumbai
165,592,8705,233,333,Chinese,2,859.0,0.0,0,859.0,UPI,29,2.0,False,2026-03-19 12:30:23,Ahmedabad
166,600,7500,235,408,Healthy Food,2,552.0,0.0,35,587.0,Credit Card,17,,False,2026-05-15 13:59:01,Lucknow
167,607,94,238,134,Chinese,2,418.0,0.0,0,418.0,Wallet,64,3.0,False,2026-03-11 12:07:17,Bangalore
168,611,9532,239,393,Fast Food,4,576.0,67.0,0,509.0,UPI,30,,True,2026-04-10 07:32:22,Bangalore
169,614,4723,240,416,Thai,3,1235.0,205.0,15,1045.0,Wallet,39,,True,2026-07-14 14:53:19,Mumbai
170,619,9111,243,394,South Indian,2,582.0,80.0,0,502.0,Debit Card,42,5.0,True,2026-03-02 22:24:06,Kolkata
171,623,6975,244,291,Biryani,4,384.0,112.0,0,272.0,Wallet,26,3.0,True,2026-03-19 13:14:13,Hyderabad
172,625,3587,246,85,Biryani,1,599.0,162.0,0,437.0,COD,34,2.0,True,2026-05-16 19:28:14,Bangalore
173,630,8186,248,483,Italian,1,236.0,58.0,25,203.0,Credit Card,21,4.0,True,2026-03-06 15:26:59,Ahmedabad
174,634,2147,249,436,Thai,2,443.0,122.0,35,356.0,Debit Card,40,5.0,True,2026-06-10 19:07:31,Kolkata
175,636,7192,250,88,Biryani,4,621.0,0.0,0,621.0,COD,41,2.0,False,2026-07-25 12:47:44,Bangalore
176,637,4758,251,151,Thai,1,193.0,0.0,25,218.0,UPI,26,1.0,False,2026-04-25 19:58:30,Pune
177,638,3384,252,283,Fast Food,1,238.0,0.0,0,238.0,Wallet,50,5.0,False,2026-05-05 09:08:36,Bangalore
178,642,1240,254,329,South Indian,2,270.0,0.0,0,270.0,Credit Card,20,5.0,False,2026-08-15 21:23:11,Bangalore
179,646,5120,255,375,Chinese,1,106.0,15.0,35,126.0,Debit Card,41,5.0,True,2026-03-26 17:28:09,Kolkata
180,651,9008,257,386,Chinese,2,307.0,38.0,25,294.0,Wallet,32,4.0,True,2026-03-22 16:51:27,Kolkata
181,665,1990,260,233,Fast Food,2,706.0,105.0,0,601.0,COD,26,,True,2026-05-07 16:17:45,Bangalore
182,673,6889,261,476,Fast Food,5,2045.0,0.0,0,2045.0,UPI,47,3.0,False,2026-03-03 14:51:42,Delhi NCR
183,689,8494,262,201,Chinese,2,778.0,207.0,0,571.0,Wallet,35,4.0,True,2026-05-24 22:21:27,Pune
184,691,9351,263,386,Chinese,1,124.0,0.0,25,149.0,COD,14,3.0,False,2026-04-12 21:42:47,Kolkata
185,702,403,266,222,North Indian,3,541.0,134.0,0,407.0,COD,39,5.0,True,2026-06-27 01:15:15,Lucknow
186,705,6351,267,218,Italian,1,307.0,38.0,49,318.0,UPI,43,,True,2026-08-10 10:06:16,Hyderabad
187,706,4208,268,194,Street Food,2,1067.0,181.0,0,886.0,Credit Card,36,,True,2026-03-15 21:58:28,Hyderabad
188,710,6490,269,280,Chinese,4,704.0,0.0,49,753.0,Debit Card,53,1.0,False,2026-07-16 18:49:55,Chennai
189,714,7593,271,365,Biryani,2,175.0,0.0,25,200.0,COD,28,5.0,False,2026-06-02 19:04:01,Bangalore
190,717,6989,273,43,North Indian,2,234.0,0.0,49,283.0,Debit Card,50,5.0,False,2026-05-02 20:16:46,Kolkata
191,723,7526,274,340,Biryani,1,56.0,16.0,25,65.0,COD,52,4.0,True,2026-03-05 19:08:59,Mumbai
192,726,319,275,238,North Indian,2,435.0,107.0,0,328.0,UPI,31,,True,2026-04-25 22:53:19,Bangalore
193,729,1558,276,318,Chinese,3,854.0,0.0,0,854.0,COD,30,4.0,False,2026-05-02 21:06:54,Bangalore
194,731,8529,277,190,Biryani,2,366.0,0.0,15,381.0,Wallet,32,5.0,False,2026-07-17 11:32:48,Hyderabad
195,732,9183,278,140,Pizza,2,195.0,0.0,35,230.0,Credit Card,34,4.0,False,2026-05-15 17:13:02,Chennai
196,733,5811,279,386,Chinese,5,640.0,0.0,25,665.0,UPI,19,2.0,False,2026-03-02 18:08:57,Kolkata
197,737,5545,280,434,Healthy Food,1,158.0,16.0,25,167.0,COD,12,2.0,True,2026-04-13 05:52:04,Pune
198,739,4964,281,73,Healthy Food,3,760.0,0.0,25,785.0,Debit Card,53,3.0,False,2026-06-06 11:12:07,Ahmedabad
199,740,9337,282,261,Biryani,3,1713.0,404.0,25,1334.0,Debit Card,47,4.0,True,2026-04-23 13:56:55,Mumbai
200,743,7950,284,98,Chinese,1,198.0,51.0,35,182.0,UPI,30,3.0,True,2026-03-22 12:37:43,Bangalore
201,746,1871,286,156,Mughlai,2,384.0,0.0,25,409.0,Credit Card,22,3.0,False,2026-03-06 19:57:29,Chennai
202,749,2350,288,171,Beverages,2,308.0,33.0,35,310.0,UPI,27,5.0,True,2026-08-22 22:54:48,Delhi NCR
203,752,8868,290,124,North Indian,3,510.0,132.0,0,378.0,Wallet,19,4.0,True,2026-07-23 10:19:19,Delhi NCR
204,754,267,291,392,Street Food,2,729.0,0.0,35,764.0,UPI,28,5.0,False,2026-07-09 00:15:15,Delhi NCR
205,755,7588,292,422,South Indian,5,817.0,118.0,0,699.0,UPI,16,1.0,True,2026-04-17 20:10:29,Delhi NCR
206,757,9415,293,273,Mughlai,1,327.0,0.0,0,327.0,UPI,29,,False,2026-06-22 16:47:08,Kolkata
207,758,8946,294,220,Chinese,1,181.0,53.0,25,153.0,UPI,31,,True,2026-05-22 13:48:26,Jaipur
208,765,9165,297,276,Pizza,5,951.0,0.0,35,986.0,Credit Card,27,,False,2026-04-26 09:00:35,Jaipur
209,774,8717,298,40,Street Food,3,1140.0,0.0,0,1140.0,UPI,41,3.0,False,2026-06-29 14:24:14,Pune
210,775,1024,299,235,Mughlai,3,447.0,0.0,0,447.0,Wallet,20,5.0,False,2026-04-13 14:42:52,Hyderabad
211,784,3617,301,117,North Indian,2,355.0,0.0,0,355.0,UPI,21,4.0,False,2026-03-14 08:42:35,Delhi NCR
212,786,801,302,4,Biryani,1,182.0,52.0,25,155.0,Debit Card,15,5.0,True,2026-05-18 12:20:10,Mumbai
213,787,7624,303,465,North Indian,5,616.0,141.0,0,475.0,UPI,59,,True,2026-08-25 16:28:03,Pune
214,790,3698,305,250,Chinese,2,327.0,89.0,49,287.0,UPI,18,,True,2026-07-28 22:19:28,Delhi NCR
215,791,142,306,163,Fast Food,3,1900.0,0.0,0,1900.0,UPI,42,,False,2026-06-23 12:11:30,Delhi NCR
216,792,5325,307,234,Fast Food,3,1255.0,0.0,0,1255.0,Credit Card,36,,False,2026-04-09 09:54:33,Hyderabad
217,800,442,310,190,Biryani,4,779.0,0.0,0,779.0,Wallet,49,3.0,False,2026-03-16 13:22:37,Hyderabad
218,802,3939,311,224,Desserts,1,196.0,0.0,15,211.0,Credit Card,28,,False,2026-03-02 18:52:38,Mumbai
