user_id,signup_date,city,age_group,device_type,user_segment
77,2025-06-03,Ahmedabad,25-34,iOS,Returning
78,2025-07-29,Hyderabad,18-24,iOS,Power
79,2025-06-22,Bangalore,25-34,Android,Returning
80,2025-08-23,Pune,18-24,Android,Returning
81,2025-05-09,Mumbai,45+,Android,Power
82,2025-07-31,Ahmedabad,25-34,Android,Returning
83,2025-08-05,Delhi NCR,18-24,iOS,Returning
84,2025-07-07,Lucknow,18-24,Android,Returning
85,2025-03-28,Pune,18-24,Android,Returning
86,2026-01-07,Pune,35-44,Android,Returning
87,2025-05-25,Chennai,45+,iOS,Returning
88,2025-07-27,Bangalore,18-24,Android,Returning
89,2025-06-22,Hyderabad,25-34,iOS,Power
90,2025-08-25,Mumbai,45+,iOS,Returning
91,2026-01-19,Hyderabad,18-24,iOS,Returning
92,2025-09-25,Hyderabad,18-24,Android,Power
93,2026-02-14,Ahmedabad,25-34,Android,New
94,2025-05-04,Bangalore,18-24,Android,Power
95,2025-12-26,Mumbai,18-24,Android,Returning
96,2025-03-21,Delhi NCR,45+,Android,Power
97,2025-04-08,Chennai,25-34,Android,Power
98,2026-02-20,Delhi NCR,25-34,Android,New
99,2025-03-22,Delhi NCR,25-34,Android,Returning
100,2025-10-23,Kolkata,35-44,iOS,Returning
101,2025-10-16,Hyderabad,25-34,Android,Returning
102,2025-12-28,Bangalore,18-24,Android,Returning
103,2025-10-13,Delhi NCR,18-24,Android,Power
104,2025-12-10,Pune,35-44,iOS,Returning
105,2025-09-19,Delhi NCR,18-24,iOS,Returning
106,2025-05-16,Pune,18-24,Android,Returning
107,2025-06-13,Mumbai,25-34,iOS,Returning
108,2025-07-13,Kolkata,18-24,Android,Returning
109,2026-01-19,Bangalore,45+,iOS,Returning
110,2026-02-01,Bangalore,25-34,iOS,New
111,2025-10-17,Hyderabad,18-24,iOS,Returning
112,2025-08-12,Hyderabad,18-24,iOS,Returning
113,2025-04-07,Mumbai,25-34,Android,Returning
114,2025-06-06,Pune,25-34,Android,Returning
115,2026-01-27,Delhi NCR,35-44,Android,Returning
116,2026-01-12,Ahmedabad,25-34,Web,Returning
117,2025-12-29,Kolkata,25-34,Android,Returning
118,2025-07-28,Delhi NCR,45+,Android,Returning
119,2025-05-12,Pune,25-34,Android,Returning
120,2025-11-22,Delhi NCR,25-34,Android,Power
121,2025-09-10,Mumbai,25-34,iOS,Returning
122,2025-03-06,Jaipur,35-44,Android,Returning
123,2025-07-30,Chennai,25-34,Android,Power
124,2026-01-25,Bangalore,25-34,Android,Returning
125,2025-07-17,Bangalore,25-34,iOS,Returning
126,2025-11-20,Delhi NCR,25-34,Android,Returning
127,2025-10-21,Lucknow,18-24,Android,Power
128,2025-06-17,Mumbai,25-34,iOS,Returning
129,2026-02-24,Delhi NCR,18-24,Android,New
130,2025-07-26,Bangalore,18-24,Android,Returning
131,2025-06-19,Bangalore,45+,iOS,Returning
132,2025-03-07,Bangalore,25-34,Android,Returning
133,2025-05-22,Mumbai,18-24,Android,Power
134,2025-08-06,Mumbai,18-24,iOS,Returning
135,2026-02-14,Delhi NCR,25-34,Android,New
136,2025-03-20,Ahmedabad,25-34,Android,Returning
137,2026-01-18,Mumbai,18-24,iOS,Returning
138,2025-09-03,Pune,18-24,Web,Returning
139,2025-12-28,Pune,18-24,iOS,Returning
140,2025-03-14,Pune,18-24,Android,Returning
141,2025-07-13,Ahmedabad,18-24,Android,Power
142,2025-07-03,Delhi NCR,25-34,iOS,Returning
143,2026-01-08,Delhi NCR,18-24,Android,Returning
144,2025-11-25,Bangalore,18-24,Android,Returning
145,2025-07-22,Delhi NCR,35-44,iOS,Returning
146,2025-07-13,Pune,35-44,Android,Returning
147,2025-07-07,Hyderabad,18-24,Android,Power
148,2025-10-09,Kolkata,18-24,Android,Returning
149,2025-09-11,Mumbai,25-34,iOS,Returning
150,2026-01-31,Ahmedabad,25-34,Android,New
151,2026-01-24,Delhi NCR,45+,Android,Returning
152,2026-02-16,Bangalore,25-34,Android,New
153,2025-09-22,Bangalore,25-34,Web,Power
154,2025-04-08,Pune,35-44,Android,Returning
155,2025-08-26,Bangalore,25-34,Android,Power
156,2025-07-01,Jaipur,18-24,iOS,Returning
157,2025-12-05,Ahmedabad,25-34,Android,Returning
158,2025-05-21,Kolkata,18-24,Android,Power
159,2025-12-25,Mumbai,18-24,iOS,Returning
160,2025-09-12,Kolkata,35-44,iOS,Power
161,2026-01-15,Pune,18-24,Android,Returning
162,2025-12-29,Mumbai,18-24,iOS,Returning
163,2025-10-18,Mumbai,35-44,Android,Power
164,2025-05-21,Mumbai,25-34,Web,Power
165,2026-02-01,Mumbai,18-24,iOS,New
166,2025-11-13,Hyderabad,18-24,Web,Returning
167,2026-01-16,Lucknow,18-24,Android,Returning
168,2025-03-26,Bangalore,18-24,Android,Returning
169,2025-05-19,Hyderabad,35-44,iOS,Returning
170,2025-04-04,Jaipur,18-24,iOS,Power
171,2025-10-24,Delhi NCR,25-34,Web,Power
172,2025-03-18,Kolkata,18-24,Android,Returning
173,2025-07-13,Hyderabad,45+,Android,Returning
174,2025-08-23,Hyderabad,25-34,Web,Returning
175,2025-07-19,Delhi NCR,45+,Web,Returning
176,2025-05-22,Hyderabad,25-34,Android,Power
177,2025-10-31,Mumbai,35-44,iOS,Returning
178,2025-11-05,Pune,35-44,iOS,Returning
179,2025-07-11,Delhi NCR,35-44,Android,Power
180,2025-06-15,Ahmedabad,18-24,Web,Returning
181,2025-03-07,Delhi NCR,18-24,Android,Power
182,2025-08-15,Mumbai,18-24,iOS,Returning
183,2025-10-15,Chennai,18-24,Web,Returning
184,2025-04-17,Mumbai,35-44,Android,Power
185,2025-09-17,Pune,25-34,Web,Power
186,2025-07-19,Jaipur,25-34,iOS,Returning
187,2025-04-28,Pune,18-24,iOS,Power
188,2025-07-10,Mumbai,18-24,Android,Returning
189,2025-09-10,Hyderabad,18-24,Android,Returning
190,2025-09-30,Chennai,25-34,iOS,Returning
191,2025-04-20,Kolkata,35-44,Android,Returning
192,2025-09-22,Mumbai,18-24,Android,Returning
193,2025-11-25,Bangalore,25-34,Android,Returning
194,2025-07-11,Hyderabad,25-34,Android,Returning
195,2025-09-02,Mumbai,35-44,iOS,Returning
196,2025-11-08,Delhi NCR,18-24,iOS,Returning
197,2025-04-17,Bangalore,25-34,iOS,Power
198,2026-01-08,Kolkata,18-24,iOS,Returning
199,2025-06-06,Ahmedabad,25-34,iOS,Returning
200,2025-05-10,Hyderabad,25-34,Android,Returning
201,2025-11-08,Bangalore,35-44,iOS,Power
202,2025-11-20,Delhi NCR,18-24,Android,Returning
203,2025-11-08,Lucknow,18-24,Android,Returning
204,2025-12-10,Lucknow,25-34,Android,Returning
205,2025-08-26,Ahmedabad,25-34,Android,Returning
206,2025-11-08,Pune,25-34,Android,Returning
207,2026-02-27,Delhi NCR,35-44,Android,New
208,2025-10-22,Kolkata,25-34,Android,Returning
209,2025-07-24,Bangalore,25-34,Android,Returning
210,2026-01-06,Delhi NCR,25-34,Android,Returning
211,2025-03-23,Pune,35-44,Android,Returning
212,2025-07-20,Mumbai,25-34,Android,Returning
213,2025-07-19,Mumbai,18-24,Android,Returning
214,2025-10-26,Bangalore,25-34,Web,Power
215,2025-10-22,Bangalore,45+,iOS,Returning
216,2026-01-07,Ahmedabad,18-24,Web,Returning
217,2025-09-10,Mumbai,25-34,iOS,Power
218,2025-07-26,Mumbai,35-44,iOS,Returning
219,2025-09-22,Mumbai,25-34,iOS,Returning
220,2025-08-15,Mumbai,25-34,Android,Returning
221,2025-06-27,Mumbai,18-24,Android,Returning
222,2025-04-11,Chennai,25-34,Android,Power
223,2025-08-10,Bangalore,18-24,iOS,Returning
224,2025-08-29,Pune,45+,Web,Power
225,2025-10-29,Lucknow,35-44,iOS,Power
226,2025-06-19,Chennai,35-44,Android,Returning
227,2025-05-11,Mumbai,25-34,Web,Returning
228,2025-05-25,Mumbai,18-24,Web,Returning
229,2025-04-10,Ahmedabad,18-24,Android,Power
230,2025-11-23,Bangalore,18-24,Web,Returning
231,2025-08-15,Kolkata,25-34,Android,Returning
232,2025-07-04,Kolkata,25-34,Android,Returning
233,2025-10-08,Ahmedabad,25-34,Android,Returning
234,2025-11-24,Jaipur,25-34,iOS,Returning
235,2025-08-12,Hyderabad,45+,Android,Power
236,2025-10-28,Delhi NCR,18-24,Android,Returning
237,2025-08-26,Jaipur,25-34,Android,Returning
238,2025-04-09,Hyderabad,18-24,Android,Power
239,2025-03-17,Mumbai,25-34,Android,Power
240,2025-06-15,Hyderabad,18-24,Android,Returning
241,2025-10-04,Hyderabad,25-34,Android,Returning
242,2025-06-22,Ahmedabad,18-24,Android,Power
243,2025-03-20,Chennai,18-24,Android,Power
244,2025-10-05,Delhi NCR,35-44,iOS,Returning
245,2025-10-04,Jaipur,18-24,Web,Power
246,2025-03-14,Pune,25-34,Android,Returning
247,2025-08-14,Hyderabad,25-34,Android,Returning
248,2025-04-27,Delhi NCR,25-34,Web,Returning
249,2025-10-24,Delhi NCR,35-44,Android,Returning
250,2026-01-21,Chennai,25-34,iOS,Returning
251,2025-03-28,Mumbai,18-24,Android,Power
252,2025-03-06,Delhi NCR,18-24,Android,Power
253,2025-10-23,Chennai,35-44,iOS,Returning
254,2025-06-07,Bangalore,25-34,iOS,Power
255,2025-10-01,Bangalore,35-44,Android,Returning
256,2025-05-07,Mumbai,25-34,Android,Returning
257,2025-11-22,Bangalore,35-44,iOS,Power
258,2025-06-11,Pune,45+,Android,Power
259,2025-06-22,Delhi NCR,25-34,iOS,Power
260,2025-10-08,Mumbai,25-34,Android,Power
261,2025-03-20,Chennai,25-34,Android,Returning
262,2025-11-09,Lucknow,25-34,Android,Returning
263,2025-12-31,Hyderabad,25-34,iOS,Returning
264,2026-02-27,Mumbai,18-24,Android,New
265,2025-05-01,Delhi NCR,25-34,Android,Power
266,2025-06-20,Kolkata,18-24,Android,Power
267,2025-10-12,Delhi NCR,18-24,Web,Returning
268,2026-01-23,Hyderabad,25-34,Web,Returning
269,2025-09-22,Bangalore,18-24,iOS,Returning
270,2026-02-20,Delhi NCR,35-44,Web,New
271,2025-07-11,Kolkata,35-44,Android,Returning
272,2025-11-22,Pune,45+,Web,Returning
273,2025-10-05,Chennai,25-34,Android,Returning
274,2025-05-01,Delhi NCR,25-34,Android,Returning
275,2025-08-05,Mumbai,25-34,Android,Returning
276,2025-10-21,Hyderabad,25-34,Web,Returning
277,2025-09-30,Hyderabad,18-24,iOS,Returning
278,2026-01-06,Delhi NCR,25-34,iOS,Returning
279,2025-11-01,Mumbai,35-44,Web,Returning
280,2025-09-21,Mumbai,18-24,iOS,Returning
281,2025-11-05,Lucknow,18-24,iOS,Power
282,2025-12-16,Pune,35-44,Android,Returning
283,2025-11-08,Ahmedabad,18-24,Web,Power
284,2025-11-17,Delhi NCR,18-24,Web,Power
285,2025-03-26,Jaipur,18-24,Web,Returning
286,2025-06-20,Mumbai,35-44,Android,Power
287,2025-07-17,Bangalore,25-34,Android,Power
288,2025-11-09,Kolkata,25-34,Android,Returning
289,2025-11-22,Delhi NCR,18-24,Android,Returning
290,2025-09-29,Bangalore,25-34,Android,Returning
291,2025-03-17,Mumbai,25-34,iOS,Returning
292,2025-03-28,Mumbai,25-34,iOS,Power
293,2025-08-19,Hyderabad,25-34,Web,Power
294,2025-04-25,Chennai,25-34,Android,Returning
295,2025-09-19,Pune,25-34,Android,Power
296,2025-08-05,Hyderabad,25-34,Android,Returning
297,2025-09-13,Hyderabad,18-24,Android,Returning
298,2025-09-21,Mumbai,25-34,Android,Power
299,2025-12-23,Mumbai,25-34,Android,Returning
300,2025-05-16,Lucknow,25-34,Web,Returning
301,2025-05-28,Mumbai,25-34,Android,Returning
302,2025-05-01,Chennai,35-44,iOS,Returning
303,2025-10-17,Mumbai,35-44,iOS,Returning
304,2025-08-18,Chennai,25-34,iOS,Power
305,2025-10-24,Chennai,35-44,iOS,Returning
306,2026-01-27,Delhi NCR,18-24,Web,Returning
307,2025-09-06,Delhi NCR,35-44,iOS,Returning
308,2026-02-07,Chennai,25-34,Web,New
309,2025-07-06,Bangalore,25-34,Android,Returning
310,2025-09-24,Delhi NCR,18-24,Android,Returning
311,2026-01-22,Pune,18-24,iOS,Returning
312,2025-07-14,Mumbai,18-24,Android,Returning
313,2026-01-09,Kolkata,18-24,iOS,Returning
314,2025-06-10,Bangalore,18-24,iOS,Returning
315,2025-05-22,Mumbai,35-44,Android,Returning
316,2026-02-02,Chennai,18-24,Android,New
317,2025-07-18,Bangalore,25-34,Web,Power
318,2025-05-28,Delhi NCR,35-44,Web,Returning
319,2025-05-19,Bangalore,18-24,iOS,Power
320,2025-11-24,Delhi NCR,35-44,iOS,Returning
321,2025-05-21,Delhi NCR,25-34,Web,Returning
322,2025-04-18,Mumbai,25-34,iOS,Power
323,2025-05-01,Delhi NCR,18-24,Android,Returning
324,2025-10-05,Delhi NCR,18-24,Android,Returning
325,2026-02-25,Chennai,25-34,Android,New
326,2026-01-25,Chennai,18-24,Android,Returning
327,2025-08-21,Bangalore,18-24,Android,Power
328,2026-01-11,Pune,18-24,Web,Returning
329,2026-02-12,Kolkata,25-34,iOS,New
330,2025-09-10,Hyderabad,18-24,Web,Power
331,2025-07-24,Hyderabad,35-44,iOS,Returning
332,2025-09-24,Delhi NCR,18-24,Android,Returning
333,2026-01-14,Ahmedabad,35-44,Android,Returning
334,2026-02-23,Mumbai,18-24,Web,New
335,2025-11-22,Delhi NCR,35-44,Android,Returning
336,2025-07-11,Chennai,25-34,iOS,Power
337,2026-01-23,Mumbai,25-34,Android,Returning
338,2025-05-25,Delhi NCR,18-24,Android,Power
339,2025-03-17,Hyderabad,25-34,Android,Returning
340,2025-05-03,Hyderabad,18-24,iOS,Returning
341,2025-09-01,Pune,25-34,Web,Power
342,2025-11-26,Kolkata,18-24,iOS,Returning
343,2025-11-22,Mumbai,25-34,iOS,Power
344,2025-08-25,Mumbai,18-24,Web,Returning
345,2025-11-05,Chennai,18-24,iOS,Returning
346,2025-08-22,Delhi NCR,25-34,Web,Power
347,2025-06-21,Hyderabad,45+,Android,Returning
348,2025-09-21,Mumbai,25-34,Web,Returning
349,2025-06-18,Bangalore,25-34,iOS,Returning
350,2025-04-12,Bangalore,25-34,Android,Returning
351,2025-10-24,Hyderabad,25-34,Android,Returning
352,2026-02-11,Bangalore,18-24,Android,New
353,2025-05-24,Bangalore,18-24,Android,Returning
354,2025-07-21,Delhi NCR,35-44,iOS,Returning
355,2026-01-06,Mumbai,25-34,iOS,Returning
356,2026-01-02,Mumbai,25-34,Web,Returning
357,2025-04-12,Bangalore,25-34,iOS,Returning
358,2025-03-06,Delhi NCR,25-34,iOS,Returning
359,2025-09-08,Bangalore,25-34,Android,Power
360,2025-05-25,Delhi NCR,25-34,iOS,Returning
361,2025-11-07,Chennai,18-24,iOS,Power
362,2025-05-17,Kolkata,25-34,iOS,Returning
363,2025-03-24,Delhi NCR,25-34,Android,Power
364,2025-10-01,Delhi NCR,45+,iOS,Returning
365,2025-10-25,Mumbai,25-34,Android,Returning
366,2025-09-27,Hyderabad,25-34,iOS,Returning
367,2025-06-01,Bangalore,18-24,iOS,Returning
368,2025-11-17,Delhi NCR,18-24,iOS,Power
369,2025-05-06,Chennai,35-44,Android,Power
370,2025-06-28,Mumbai,35-44,Android,Returning
371,2025-09-06,Hyderabad,25-34,Android,Power
372,2026-01-21,Bangalore,25-34,iOS,Returning
373,2025-09-12,Pune,18-24,Android,Returning
374,2025-06-27,Mumbai,35-44,iOS,Returning
375,2026-02-03,Ahmedabad,18-24,Android,New
376,2025-03-11,Chennai,35-44,Android,Returning
377,2025-04-29,Delhi NCR,25-34,iOS,Returning
378,2026-02-16,Delhi NCR,18-24,iOS,New
379,2025-04-19,Bangalore,35-44,iOS,Returning
380,2025-04-22,Kolkata,45+,Android,Returning
381,2026-01-24,Kolkata,18-24,Android,Returning
382,2025-09-09,Bangalore,35-44,Android,Power
383,2026-02-09,Kolkata,35-44,Android,New
384,2025-04-14,Mumbai,35-44,iOS,Power
385,2025-06-10,Mumbai,45+,Android,Returning
386,2025-10-10,Ahmedabad,25-34,Web,Power
387,2025-10-09,Pune,25-34,iOS,Returning
388,2025-11-29,Bangalore,35-44,iOS,Returning
389,2025-03-12,Pune,25-34,Web,Power
390,2025-04-13,Jaipur,25-34,Android,Power
391,2025-05-17,Pune,25-34,Android,Returning
392,2025-07-29,Kolkata,35-44,iOS,Returning
393,2025-03-24,Pune,25-34,Android,Returning
394,2026-01-09,Mumbai,25-34,Web,Returning
395,2025-09-29,Kolkata,25-34,Web,Power
396,2025-08-27,Delhi NCR,18-24,Web,Power
397,2025-12-28,Ahmedabad,18-24,Web,Returning
398,2025-08-23,Bangalore,25-34,iOS,Power
399,2025-10-27,Chennai,25-34,iOS,Power
400,2025-10-02,Bangalore,35-44,Android,Power
401,2025-04-21,Mumbai,25-34,iOS,Returning
402,2026-01-02,Delhi NCR,45+,Android,Returning
403,2025-03-24,Lucknow,18-24,iOS,Power
404,2025-04-30,Jaipur,45+,Web,Power
405,2025-09-02,Delhi NCR,18-24,Android,Power
406,2025-09-12,Lucknow,25-34,Android,Returning
407,2025-04-09,Kolkata,25-34,Android,Returning
408,2025-06-03,Hyderabad,25-34,iOS,Returning
409,2026-01-06,Mumbai,18-24,iOS,Returning
410,2025-11-20,Ahmedabad,18-24,iOS,Returning
411,2025-06-10,Hyderabad,35-44,iOS,Returning
412,2026-01-07,Kolkata,25-34,Android,Returning
413,2025-12-31,Kolkata,45+,iOS,Returning
414,2025-11-13,Kolkata,25-34,iOS,Power
415,2026-02-24,Chennai,45+,Android,New
416,2025-11-18,Delhi NCR,18-24,Android,Returning
417,2025-08-17,Delhi NCR,18-24,Web,Returning
418,2025-06-12,Delhi NCR,25-34,Web,Returning
419,2025-03-16,Mumbai,35-44,iOS,Returning
420,2026-01-13,Hyderabad,25-34,Web,Returning
421,2025-03-11,Chennai,18-24,Android,Power
422,2025-04-24,Kolkata,18-24,Web,Power
423,2025-04-27,Mumbai,25-34,Android,Returning
424,2025-10-08,Hyderabad,25-34,Android,Returning
425,2025-06-05,Mumbai,25-34,Android,Power
426,2025-10-28,Mumbai,35-44,iOS,Returning
427,2025-11-15,Mumbai,25-34,Android,Power
428,2025-09-24,Chennai,35-44,Android,Power
429,2025-10-05,Mumbai,25-34,Android,Power
430,2025-10-07,Chennai,25-34,Android,Returning
431,2025-11-01,Delhi NCR,45+,Android,Power
432,2025-04-16,Kolkata,25-34,iOS,Returning
433,2025-05-30,Kolkata,25-34,Android,Power
434,2025-11-29,Jaipur,35-44,Android,Returning
435,2026-01-02,Ahmedabad,18-24,Android,Returning
436,2025-03-20,Jaipur,25-34,Android,Power
437,2025-07-15,Kolkata,18-24,Android,Power
438,2025-11-04,Chennai,18-24,iOS,Returning
439,2025-04-17,Mumbai,18-24,Android,Returning
440,2025-05-26,Delhi NCR,18-24,Android,Returning
441,2025-10-25,Delhi NCR,25-34,iOS,Power
442,2025-10-23,Hyderabad,35-44,iOS,Returning
443,2026-01-02,Bangalore,25-34,Android,Returning
444,2025-10-30,Kolkata,25-34,Android,Power
445,2026-02-28,Jaipur,25-34,Android,New
446,2025-07-05,Bangalore,35-44,Android,Returning
447,2025-05-15,Bangalore,35-44,Android,Returning
448,2025-11-25,Lucknow,35-44,Android,Power
449,2025-10-26,Delhi NCR,35-44,Android,Power
450,2025-11-03,Pune,18-24,iOS,Returning
451,2026-01-12,Delhi NCR,25-34,Web,Returning
452,2025-12-02,Chennai,25-34,iOS,Returning
453,2025-07-07,Delhi NCR,25-34,iOS,Power
454,2025-06-02,Ahmedabad,25-34,Android,Returning
455,2025-08-24,Hyderabad,18-24,Android,Power
456,2025-08-21,Delhi NCR,18-24,Android,Returning
457,2025-12-22,Delhi NCR,45+,iOS,Returning
458,2025-05-27,Bangalore,25-34,iOS,Power
459,2025-03-17,Jaipur,18-24,iOS,Power
460,2025-06-27,Pune,18-24,Android,Power
461,2025-12-15,Bangalore,25-34,Android,Returning
462,2025-09-28,Delhi NCR,25-34,iOS,Power
463,2025-10-08,Hyderabad,25-34,iOS,Power
464,2025-12-05,Pune,18-24,Android,Returning
465,2025-08-28,Pune,18-24,iOS,Returning
466,2025-05-20,Delhi NCR,25-34,Android,Returning
467,2025-07-24,Chennai,25-34,iOS,Power
468,2025-12-22,Chennai,18-24,Android,Returning
469,2026-01-13,Jaipur,25-34,iOS,Returning
470,2025-11-27,Jaipur,25-34,iOS,Power
471,2025-07-06,Pune,35-44,Web,Power
472,2025-08-09,Chennai,18-24,Web,Returning
473,2025-07-26,Delhi NCR,35-44,Android,Returning
474,2025-03-25,Kolkata,45+,Android,Returning
475,2026-01-21,Bangalore,45+,Android,Returning
476,2025-11-21,Delhi NCR,35-44,Android,Power
477,2025-05-16,Bangalore,35-44,Android,Power
478,2025-06-20,Kolkata,18-24,Android,Power
479,2025-07-22,Mumbai,25-34,iOS,Power
480,2025-03-09,Bangalore,25-34,Android,Returning
481,2026-02-06,Bangalore,25-34,Android,New
482,2025-06-24,Mumbai,25-34,iOS,Returning
483,2026-02-19,Delhi NCR,25-34,iOS,New
484,2025-06-28,Kolkata,45+,iOS,Returning
485,2025-04-10,Kolkata,18-24,iOS,Power
486,2025-11-21,Delhi NCR,18-24,Android,Returning
487,2025-05-15,Kolkata,25-34,Android,Returning
488,2025-09-02,Pune,18-24,iOS,Returning
489,2025-07-21,Bangalore,25-34,Android,Returning
490,2025-06-24,Pune,18-24,Android,Returning
491,2025-10-05,Jaipur,25-34,Android,Power
492,2025-11-25,Bangalore,25-34,Web,Power
493,2025-06-17,Delhi NCR,18-24,iOS,Power
494,2025-04-10,Jaipur,18-24,iOS,Returning
495,2026-02-25,Hyderabad,25-34,Android,New
496,2026-02-13,Mumbai,25-34,Web,New
497,2025-05-25,Hyderabad,25-34,iOS,Power
498,2025-03-30,Bangalore,25-34,Android,Returning
499,2025-06-27,Kolkata,25-34,iOS,Returning
500,2025-06-16,Hyderabad,25-34,Android,Returning
501,2025-09-22,Delhi NCR,18-24,Android,Returning
502,2025-03-26,Chennai,35-44,Android,Returning
503,2025-09-30,Hyderabad,18-24,iOS,Returning
504,2025-09-04,Delhi NCR,35-44,Android,Returning
505,2025-09-19,Hyderabad,25-34,iOS,Returning
506,2026-01-27,Kolkata,25-34,iOS,Returning
507,2025-09-03,Mumbai,35-44,iOS,Returning
508,2025-11-20,Hyderabad,35-44,Android,Returning
509,2025-06-06,Delhi NCR,45+,Android,Returning
510,2025-04-12,Delhi NCR,25-34,Android,Power
511,2025-12-26,Bangalore,18-24,Android,Returning
512,2025-09-14,Delhi NCR,35-44,Web,Returning
513,2025-04-05,Kolkata,18-24,iOS,Returning
514,2026-01-17,Delhi NCR,35-44,Android,Returning
515,2026-01-16,Pune,25-34,Android,Returning
516,2025-05-20,Mumbai,45+,Web,Returning
517,2026-02-17,Jaipur,35-44,Android,New
518,2025-11-26,Hyderabad,18-24,Android,Returning
519,2025-05-03,Chennai,25-34,Android,Returning
520,2025-06-21,Delhi NCR,18-24,iOS,Returning
521,2025-07-02,Bangalore,18-24,Web,Power
522,2026-01-25,Delhi NCR,25-34,Web,Returning
523,2025-07-29,Jaipur,18-24,Android,Power
524,2025-03-29,Bangalore,35-44,iOS,Returning
525,2025-12-01,Hyderabad,45+,iOS,Power
526,2025-06-10,Pune,25-34,Android,Returning
527,2025-11-28,Delhi NCR,18-24,Android,Power
528,2025-12-01,Chennai,35-44,Web,Power
529,2025-11-06,Chennai,35-44,Android,Returning
530,2025-11-16,Chennai,35-44,Android,Power
531,2025-08-17,Bangalore,25-34,Android,Returning
532,2025-04-21,Bangalore,35-44,Web,Power
