restaurant_id,name,cuisine,city,rating,avg_cost_for_two,avg_delivery_time_mins,has_photos,is_promoted,delivery_fee,total_reviews
87,Royal Dhaba #87,South Indian,Mumbai,3.7,1000,31,False,True,49,3086
88,Green Junction #88,Biryani,Bangalore,3.5,500,34,True,False,25,616
89,Taste Cafe #89,North Indian,Bangalore,3.7,500,49,True,False,49,526
90,Foodie House #90,Biryani,Mumbai,4.2,400,46,True,False,15,1118
91,Taste Grill #91,Healthy Food,Pune,3.6,1000,40,False,True,35,4345
92,Green Express #92,South Indian,Bangalore,3.3,500,53,False,False,35,848
93,Fresh Den #93,North Indian,Mumbai,2.8,400,46,False,False,15,1131
94,Yummy Palace #94,Rolls,Mumbai,3.7,500,33,True,True,0,3975
95,Red Spot #95,Pizza,Bangalore,3.8,400,40,True,False,0,3351
96,Desi Spot #96,Chinese,Mumbai,3.6,500,48,True,False,35,1346
97,Hungry Box #97,South Indian,Hyderabad,5.0,400,35,True,False,0,1269
98,Green Den #98,Chinese,Bangalore,4.2,600,32,True,False,35,3290
99,Fresh Box #99,Fast Food,Ahmedabad,3.5,200,53,True,False,35,1871
100,Urban Junction #100,Healthy Food,Bangalore,4.2,1000,40,False,False,15,654
101,Hungry Point #101,South Indian,Hyderabad,4.3,400,45,False,True,35,2238
102,Silver Cafe #102,Street Food,Kolkata,3.8,800,27,True,False,15,606
103,Yummy Spot #103,Mughlai,Delhi NCR,3.6,600,44,False,False,59,2820
104,Fresh Junction #104,Italian,Bangalore,3.2,500,33,False,True,15,4546
105,Red Dhaba #105,North Indian,Mumbai,4.6,300,34,True,False,25,477
106,Royal Express #106,Healthy Food,Bangalore,3.7,500,25,False,False,59,974
107,Taste Cafe #107,Street Food,Delhi NCR,3.7,1200,32,True,False,49,1647
108,Taste Box #108,North Indian,Bangalore,4.5,300,20,True,True,35,2796
109,Red Spot #109,Biryani,Mumbai,3.8,400,46,False,False,25,2823
110,Green Point #110,Healthy Food,Bangalore,5.0,1500,29,False,False,35,236
111,Foodie Point #111,South Indian,Kolkata,3.5,1000,38,False,False,25,2818
112,Urban Den #112,South Indian,Jaipur,3.6,500,23,True,True,0,1314
113,Yummy Spot #113,South Indian,Delhi NCR,3.4,600,39,True,False,35,523
114,Golden Hub #114,Beverages,Delhi NCR,3.3,400,15,True,True,49,221
115,Desi House #115,South Indian,Mumbai,4.0,400,25,True,False,25,779
116,Urban Den #116,Chinese,Mumbai,4.2,400,48,True,False,35,3321
117,Blue Dhaba #117,North Indian,Delhi NCR,3.6,400,28,True,False,0,440
118,Blue Express #118,Rolls,Chennai,3.8,600,32,True,False,15,3268
119,Golden Kitchen #119,South Indian,Delhi NCR,3.9,400,15,False,False,25,269
120,Red Hub #120,Street Food,Mumbai,4.6,300,48,True,False,15,1764
121,Taste Den #121,North Indian,Pune,3.4,600,32,True,False,59,2407
122,Urban Hub #122,Desserts,Bangalore,3.9,200,48,True,False,49,4812
123,Desi House #123,Desserts,Bangalore,4.1,600,28,False,False,35,55
124,Classic Point #124,North Indian,Delhi NCR,4.0,400,20,True,False,59,886
125,Classic Kitchen #125,North Indian,Hyderabad,3.8,300,49,True,False,15,2927
126,Silver Corner #126,Chinese,Ahmedabad,4.4,400,38,True,True,49,1965
127,Taste Grill #127,Chinese,Hyderabad,3.4,300,36,True,False,15,1610
128,Hungry Junction #128,Desserts,Hyderabad,3.7,400,28,True,False,25,2284
129,Silver Den #129,North Indian,Delhi NCR,3.4,300,46,True,False,25,1749
130,Golden Box #130,Biryani,Mumbai,3.4,500,16,True,False,25,3200
131,Blue Dhaba #131,South Indian,Bangalore,3.9,300,43,False,False,35,343
132,Hungry Hub #132,Italian,Ahmedabad,4.4,300,23,True,False,15,1540
133,Foodie Palace #133,North Indian,Chennai,3.3,500,39,True,False,25,565
134,Taste Spot #134,Chinese,Bangalore,4.4,500,54,True,False,15,2058
135,Silver Grill #135,South Indian,Hyderabad,3.6,200,34,True,True,35,740
136,Yummy Junction #136,Fast Food,Hyderabad,3.2,400,34,False,True,25,4833
137,Taste Box #137,South Indian,Ahmedabad,3.4,200,29,True,True,15,4043
138,Royal Bites #138,Pizza,Delhi NCR,4.4,600,33,True,False,15,1173
139,Golden Hub #139,Pizza,Ahmedabad,3.2,600,30,True,False,15,1309
140,Hungry Junction #140,Pizza,Chennai,5.0,200,35,True,False,35,4472
141,Classic Spot #141,Rolls,Mumbai,3.9,1200,32,False,False,25,4729
142,Urban Junction #142,Mughlai,Delhi NCR,2.8,1200,33,False,False,49,2030
143,Silver Express #143,Chinese,Bangalore,3.2,400,29,True,False,25,3696
144,Blue Dhaba #144,Chinese,Mumbai,4.3,300,33,False,True,15,1950
145,Taste Cafe #145,Fast Food,Hyderabad,2.9,300,34,True,True,59,4406
146,Red Hub #146,Italian,Delhi NCR,4.2,800,51,True,False,49,3081
147,Classic Corner #147,Thai,Bangalore,3.1,500,50,True,False,15,3509
148,Foodie House #148,Chinese,Bangalore,4.0,200,38,True,False,49,1220
149,Red Cafe #149,Desserts,Bangalore,4.6,1000,30,True,True,35,4263
150,Classic House #150,Biryani,Kolkata,4.0,500,38,True,False,25,1364
151,Red Den #151,Thai,Pune,4.3,600,26,False,False,25,3338
152,Silver Point #152,Desserts,Kolkata,4.2,800,29,True,False,25,2140
153,Golden Point #153,Chinese,Hyderabad,3.1,800,35,True,False,35,4119
154,Taste Bites #154,South Indian,Hyderabad,3.1,200,28,False,False,15,3277
155,Green Spot #155,Pizza,Bangalore,2.7,500,28,False,False,0,1245
156,Silver Spot #156,Mughlai,Chennai,4.0,600,30,True,False,25,4213
157,Green Hub #157,Pizza,Delhi NCR,3.7,200,57,True,True,15,4736
158,Taste Junction #158,Street Food,Bangalore,3.2,300,36,True,False,25,2788
159,Red Palace #159,Chinese,Chennai,4.0,400,17,True,True,59,4270
160,Yummy Hub #160,Fast Food,Pune,4.8,1000,36,True,False,35,2918
161,Urban Hub #161,Mughlai,Delhi NCR,4.2,800,39,True,False,59,4452
162,Red House #162,North Indian,Delhi NCR,4.6,800,34,True,False,35,1058
163,Hungry Cafe #163,Fast Food,Delhi NCR,3.6,1500,41,False,False,0,1969
164,Royal Grill #164,Chinese,Ahmedabad,3.9,300,29,True,False,49,1588
165,Royal Spot #165,Street Food,Mumbai,4.0,500,33,True,False,15,3708
166,Yummy Kitchen #166,Biryani,Jaipur,4.3,400,34,True,False,49,359
167,Urban Box #167,Biryani,Lucknow,2.9,600,28,True,False,35,1488
168,Red Palace #168,Chinese,Pune,4.7,800,25,True,False,49,1830
169,Blue Bites #169,South Indian,Pune,3.9,500,35,True,False,15,1251
170,Royal Kitchen #170,Desserts,Jaipur,4.6,500,37,True,False,49,3940
171,Spice Express #171,Beverages,Delhi NCR,4.4,500,15,False,False,35,885
172,Spice Box #172,South Indian,Mumbai,2.5,600,29,False,False,0,3730
173,Urban Express #173,North Indian,Kolkata,4.0,300,32,True,False,49,1551
174,Red Point #174,Desserts,Mumbai,4.1,1200,36,True,False,49,3715
175,Classic Bites #175,Chinese,Mumbai,3.7,200,43,True,False,25,3711
176,Yummy Dhaba #176,South Indian,Delhi NCR,3.8,200,31,True,False,25,3548
177,Silver Junction #177,Fast Food,Bangalore,3.3,400,40,True,False,25,829
178,Desi Grill #178,Street Food,Bangalore,3.7,600,21,True,False,35,3919
179,Classic Den #179,South Indian,Mumbai,3.6,1200,48,True,False,49,4026
180,Royal Hub #180,Beverages,Bangalore,3.5,1000,34,False,False,25,218
181,Taste Grill #181,Chinese,Hyderabad,3.6,600,19,False,False,0,1894
182,Royal Kitchen #182,Chinese,Jaipur,2.4,400,40,False,False,15,4512
183,Red Dhaba #183,Italian,Delhi NCR,3.5,500,32,True,False,35,2138
184,Royal Point #184,Desserts,Delhi NCR,3.3,1200,53,True,False,35,3998
185,Hungry Junction #185,Pizza,Bangalore,3.3,400,50,False,False,25,116
186,Golden Bites #186,Chinese,Lucknow,3.0,500,43,False,False,15,2705
187,Urban Grill #187,North Indian,Delhi NCR,3.7,600,15,True,False,15,2495
188,Fresh Bites #188,Chinese,Mumbai,3.3,200,32,False,False,25,3095
189,Green Spot #189,North Indian,Delhi NCR,3.3,400,47,False,False,25,4796
190,Golden Hub #190,Biryani,Hyderabad,3.9,500,43,True,False,15,4039
191,Classic Den #191,Desserts,Bangalore,4.8,1000,25,True,False,49,1435
192,Urban Spot #192,Italian,Pune,3.9,1500,33,True,False,25,4615
193,Foodie Den #193,Thai,Hyderabad,4.4,500,40,False,False,25,1127
194,Foodie Cafe #194,Street Food,Hyderabad,3.7,1200,19,True,False,25,2139
195,Royal Palace #195,Italian,Delhi NCR,5.0,200,19,True,False,35,4066
196,Spice Grill #196,North Indian,Hyderabad,3.1,600,59,False,False,15,250
197,Taste Corner #197,Fast Food,Hyderabad,2.6,400,31,False,False,59,174
198,Hungry Palace #198,Fast Food,Mumbai,4.3,600,15,True,False,0,1506
199,Fresh Box #199,Fast Food,Pune,4.2,800,28,True,False,35,3111
200,Taste Dhaba #200,Street Food,Bangalore,2.7,200,38,True,False,35,2516
201,Green Spot #201,Chinese,Pune,3.7,1000,42,False,False,0,313
202,Urban House #202,North Indian,Mumbai,4.9,200,28,False,False,59,4784
203,Blue Junction #203,Healthy Food,Chennai,4.3,600,23,False,False,0,4900
204,Royal Hub #204,Healthy Food,Mumbai,2.9,200,43,True,False,25,921
205,Classic Hub #205,Mughlai,Mumbai,2.6,800,25,True,False,25,2982
206,Blue Point #206,Thai,Ahmedabad,4.8,300,32,False,False,49,4029
207,Silver Corner #207,South Indian,Bangalore,3.3,400,41,False,False,0,2771
208,Fresh House #208,Chinese,Bangalore,4.4,1000,30,True,False,25,615
209,Yummy Kitchen #209,Pizza,Ahmedabad,4.2,800,55,False,True,15,1048
210,Fresh Palace #210,Continental,Bangalore,3.8,800,26,True,False,25,416
211,Royal Kitchen #211,North Indian,Chennai,3.4,600,31,True,False,35,1081
212,Taste Express #212,Italian,Delhi NCR,4.7,500,31,True,False,0,4219
213,Fresh Dhaba #213,North Indian,Mumbai,2.5,1200,28,False,False,0,4631
214,Classic Palace #214,Desserts,Delhi NCR,4.5,800,45,False,False,0,4927
215,Classic Corner #215,Desserts,Pune,3.6,400,31,True,False,49,4453
216,Classic Bites #216,Desserts,Bangalore,3.3,600,60,True,False,59,1462
217,Blue Corner #217,Italian,Mumbai,3.7,1500,36,True,False,25,2463
218,Golden Express #218,Italian,Hyderabad,4.5,800,37,True,True,49,2997
219,Green Bites #219,Chinese,Delhi NCR,3.1,200,19,True,False,25,2799
220,Red Junction #220,Chinese,Jaipur,4.0,600,29,False,False,25,3679
221,Red House #221,Rolls,Hyderabad,4.2,1000,41,False,True,25,210
222,Hungry House #222,North Indian,Lucknow,3.7,400,40,True,False,35,792
223,Golden Palace #223,Chinese,Mumbai,3.1,1200,24,True,False,15,2770
224,Fresh Bites #224,Desserts,Mumbai,3.3,400,30,False,False,15,4931
225,Spice Grill #225,Italian,Bangalore,4.9,400,15,True,False,49,3723
226,Hungry Palace #226,Continental,Kolkata,4.4,300,27,False,False,49,948
227,Hungry Spot #227,Chinese,Bangalore,4.2,200,52,False,False,0,3126
228,Taste Point #228,Pizza,Kolkata,5.0,500,37,True,False,35,3627
229,Silver Cafe #229,Healthy Food,Mumbai,3.3,500,46,False,False,0,2430
230,Desi Dhaba #230,North Indian,Chennai,3.8,400,18,True,False,15,773
231,Foodie Bites #231,Italian,Chennai,3.8,500,35,True,False,0,2904
232,Yummy Point #232,Chinese,Hyderabad,4.5,400,33,True,False,25,1264
233,Golden Bites #233,Fast Food,Bangalore,2.8,800,28,False,False,15,4629
234,Silver Box #234,Fast Food,Hyderabad,3.8,1200,32,True,False,0,1808
235,Royal Palace #235,Mughlai,Hyderabad,3.8,500,29,False,False,0,4976
236,Spice Corner #236,South Indian,Delhi NCR,4.3,800,23,False,False,25,1279
237,Urban Spot #237,South Indian,Mumbai,3.5,800,36,False,False,15,4203
238,Foodie Kitchen #238,North Indian,Bangalore,4.5,600,43,True,False,0,2850
239,Hungry Express #239,Street Food,Bangalore,4.0,300,27,True,False,49,722
240,Green House #240,Mughlai,Bangalore,3.3,300,27,False,False,25,683
241,Urban Corner #241,Chinese,Bangalore,4.1,1000,43,False,False,35,4614
242,Spice Bites #242,North Indian,Delhi NCR,3.7,400,35,False,False,25,951
243,Blue Express #243,South Indian,Delhi NCR,4.1,300,31,True,False,0,952
244,Spice House #244,North Indian,Delhi NCR,3.1,300,35,True,False,25,4481
245,Silver Hub #245,Biryani,Hyderabad,3.6,500,55,False,True,49,3753
246,Taste Point #246,Chinese,Kolkata,4.4,600,46,False,False,0,1926
247,Royal Bites #247,Pizza,Kolkata,4.6,600,52,True,True,49,3846
248,Green Express #248,South Indian,Lucknow,4.1,400,42,True,False,35,2438
249,Desi Bites #249,Continental,Mumbai,3.7,200,27,True,False,59,3384
250,Spice Palace #250,Chinese,Delhi NCR,3.5,400,30,False,False,49,1199
251,Blue House #251,Pizza,Pune,3.4,500,27,False,False,49,4866
252,Yummy Express #252,Continental,Hyderabad,3.4,500,41,True,True,0,2963
253,Classic Bites #253,Rolls,Mumbai,3.3,400,31,False,False,15,2323
254,Classic House #254,Healthy Food,Hyderabad,3.7,300,26,False,False,25,3634
255,Blue Junction #255,North Indian,Bangalore,3.4,800,33,True,False,35,1262
256,Green Kitchen #256,North Indian,Jaipur,4.1,800,21,True,False,35,1919
257,Urban Bites #257,Street Food,Kolkata,4.0,400,45,True,False,15,2256
258,Fresh Spot #258,Pizza,Mumbai,4.5,500,25,False,False,35,2684
259,Red Point #259,South Indian,Mumbai,4.1,400,44,False,False,15,3334
260,Golden Dhaba #260,Continental,Bangalore,4.3,300,39,True,False,25,2612
261,Red Junction #261,Biryani,Mumbai,3.3,1200,40,True,False,25,164
262,Desi Hub #262,North Indian,Mumbai,4.1,200,23,True,True,49,2857
263,Blue Bites #263,South Indian,Jaipur,3.9,300,35,False,True,35,2684
264,Golden Express #264,North Indian,Pune,2.6,400,29,False,False,59,3875
265,Hungry Express #265,North Indian,Chennai,3.8,800,17,True,False,59,4063
266,Foodie Express #266,Street Food,Kolkata,3.2,800,49,False,False,25,3651
267,Red Den #267,South Indian,Delhi NCR,2.9,500,34,False,False,0,2389
268,Green House #268,Biryani,Chennai,3.6,600,30,True,True,0,4513
269,Green Express #269,Street Food,Hyderabad,3.4,400,48,True,False,49,1537
270,Taste Spot #270,Pizza,Kolkata,3.3,1200,44,True,False,25,635
271,Blue House #271,Biryani,Delhi NCR,2.9,200,60,True,False,25,695
272,Silver Spot #272,Biryani,Pune,4.9,300,25,True,False,15,1475
273,Hungry Bites #273,Mughlai,Kolkata,3.1,1000,29,True,False,15,2473
274,Blue Den #274,Chinese,Hyderabad,3.6,1200,54,True,False,0,3481
275,Golden Hub #275,South Indian,Bangalore,4.2,500,26,True,False,15,4246
276,Blue Bites #276,Pizza,Jaipur,4.4,500,27,True,False,35,879
277,Yummy Bites #277,North Indian,Mumbai,3.1,1000,34,True,False,25,3087
278,Foodie Junction #278,South Indian,Mumbai,3.7,800,51,False,False,59,3823
279,Spice Grill #279,Italian,Mumbai,4.1,800,29,True,False,35,1941
280,Fresh Cafe #280,Chinese,Chennai,4.0,400,57,True,True,49,914
281,Taste Box #281,Street Food,Pune,4.0,800,34,True,False,0,1860
282,Classic Corner #282,North Indian,Chennai,3.1,200,48,True,False,25,2032
283,Yummy Box #283,Fast Food,Bangalore,3.3,500,31,True,False,0,1252
284,Foodie Hub #284,Healthy Food,Jaipur,3.7,300,25,True,False,49,2636
285,Golden Grill #285,Street Food,Bangalore,3.6,200,40,True,False,0,2721
286,Royal Corner #286,Biryani,Lucknow,3.9,500,20,True,False,49,1304
287,Desi Grill #287,South Indian,Ahmedabad,3.2,200,18,False,False,59,2795
288,Green Bites #288,Italian,Bangalore,4.4,300,42,True,False,25,4168
289,Urban Express #289,South Indian,Mumbai,3.1,200,29,True,True,25,873
290,Silver Corner #290,Fast Food,Mumbai,3.9,1200,21,True,True,35,1566
291,Golden Spot #291,Biryani,Hyderabad,3.3,200,29,False,False,35,2570
292,Royal Junction #292,Biryani,Pune,3.6,400,40,True,False,35,2312
293,Yummy Spot #293,Pizza,Mumbai,2.9,600,25,False,False,0,746
294,Yummy Box #294,North Indian,Delhi NCR,3.7,800,15,True,False,35,788
295,Golden Hub #295,Italian,Hyderabad,4.2,500,33,False,False,0,3532
296,Classic House #296,Biryani,Bangalore,4.6,1200,38,True,False,25,4725
297,Blue Express #297,Biryani,Hyderabad,3.7,400,43,True,False,15,4193
298,Silver Kitchen #298,North Indian,Chennai,3.1,500,45,False,False,59,1424
299,Desi Corner #299,South Indian,Bangalore,4.3,800,33,True,False,25,4794
300,Fresh Junction #300,Pizza,Pune,4.0,600,54,True,True,25,4746
301,Classic Den #301,Fast Food,Chennai,3.7,300,33,True,False,0,4378
302,Spice Hub #302,Italian,Chennai,3.5,500,32,False,False,49,4742
303,Golden House #303,Mughlai,Mumbai,3.7,1200,32,True,False,15,531
304,Golden Spot #304,North Indian,Bangalore,3.8,800,36,True,False,25,2857
305,Spice Grill #305,Mughlai,Hyderabad,4.3,300,40,True,False,59,4121
306,Hungry Grill #306,North Indian,Delhi NCR,3.3,300,48,False,True,0,2425
307,Foodie Corner #307,Biryani,Pune,3.4,800,29,False,False,35,4899
308,Fresh Kitchen #308,Fast Food,Mumbai,3.7,300,26,True,False,15,4465
309,Fresh Den #309,Biryani,Mumbai,3.0,500,36,True,False,25,240
310,Foodie Cafe #310,North Indian,Bangalore,4.2,300,30,True,False,25,4717
311,Blue Corner #311,Fast Food,Mumbai,4.2,200,23,False,True,59,3474
312,Red Corner #312,North Indian,Mumbai,4.0,800,47,True,True,0,2574
313,Blue Point #313,South Indian,Bangalore,5.0,600,46,True,False,25,528
314,Taste Spot #314,South Indian,Hyderabad,4.2,500,20,True,False,49,493
315,Classic Spot #315,Biryani,Bangalore,4.6,300,33,True,False,49,2122
316,Urban Palace #316,Italian,Mumbai,3.8,800,40,True,False,15,2276
317,Red Palace #317,North Indian,Delhi NCR,3.5,400,54,True,False,15,3861
318,Classic Hub #318,Chinese,Bangalore,2.9,600,34,True,False,25,4281
319,Desi Grill #319,North Indian,Pune,4.0,400,43,False,False,35,3874
320,Golden Den #320,Street Food,Pune,4.1,400,31,True,False,15,1043
321,Spice House #321,Fast Food,Bangalore,4.4,500,39,True,False,35,775
322,Golden Express #322,Italian,Hyderabad,3.5,600,44,True,True,25,3370
323,Desi Cafe #323,Mughlai,Ahmedabad,4.2,800,38,True,False,0,997
324,Royal Junction #324,Fast Food,Mumbai,3.0,400,35,True,False,35,25
325,Red Palace #325,Pizza,Mumbai,3.9,300,44,False,False,35,1580
326,Spice Kitchen #326,Biryani,Bangalore,4.1,300,48,True,False,35,4437
327,Silver Express #327,Italian,Hyderabad,4.2,400,36,True,False,35,88
328,Classic Point #328,Fast Food,Mumbai,4.3,800,45,False,False,15,3098
329,Desi Cafe #329,South Indian,Bangalore,4.1,400,29,True,False,35,1828
330,Fresh Box #330,Street Food,Mumbai,3.9,200,31,False,False,49,1054
331,Red Hub #331,Rolls,Hyderabad,4.5,500,50,False,True,25,1621
332,Desi Express #332,South Indian,Delhi NCR,3.8,200,15,False,False,25,441
333,Fresh Dhaba #333,Chinese,Ahmedabad,3.8,1000,32,True,False,35,2613
334,Foodie Grill #334,Italian,Mumbai,4.7,600,37,False,True,0,2085
335,Blue Dhaba #335,Fast Food,Pune,2.1,400,23,True,False,15,622
336,Hungry Point #336,Street Food,Bangalore,4.1,500,45,False,False,49,4360
337,Foodie Point #337,North Indian,Kolkata,4.2,600,34,True,False,25,281
338,Fresh Grill #338,Chinese,Kolkata,3.5,1000,42,False,True,49,3717
339,Urban Hub #339,Fast Food,Delhi NCR,3.8,800,50,True,False,15,4667
340,Urban Corner #340,Biryani,Mumbai,3.8,200,47,True,False,25,4441
341,Foodie Hub #341,Fast Food,Chennai,3.7,200,31,False,False,49,767
342,Spice House #342,Fast Food,Delhi NCR,3.8,500,23,True,False,15,4313
343,Taste House #343,Street Food,Jaipur,4.0,500,30,True,False,49,4140
344,Spice Grill #344,South Indian,Mumbai,3.4,400,36,True,False,15,123
345,Desi House #345,Chinese,Delhi NCR,3.8,1200,17,True,True,59,1972
346,Hungry Grill #346,Fast Food,Mumbai,3.0,600,50,True,False,49,3075
347,Golden Grill #347,Street Food,Delhi NCR,3.4,600,36,True,False,25,3958
348,Hungry Box #348,North Indian,Hyderabad,3.1,300,32,True,False,35,843
349,Blue Express #349,North Indian,Chennai,3.9,400,15,True,False,25,938
350,Green Palace #350,Desserts,Chennai,3.2,500,35,True,True,49,2092
351,Urban Point #351,Chinese,Kolkata,3.0,800,35,False,True,25,2925
352,Desi Junction #352,Thai,Mumbai,3.0,1000,26,False,False,59,1353
353,Green Express #353,Thai,Pune,3.2,600,37,False,False,0,4323
